t,H,L
0.0,2.18,4.44
1.0,2.178555668293176,4.443555256740605
2.0,2.177127455239718,4.447081956095984
3.0,2.1757150454777467,4.4505806033142035
4.0,2.174318132519861,4.454051690130164
5.0,2.1729364184253126,4.457495695245865
6.0,2.1715696134871285,4.460913084789452
7.0,2.1702174359333672,4.46430431275415
8.0,2.1688796116417555,4.467669821418142
9.0,2.1675558738669904,4.471010041746374
10.0,2.1662459629800455,4.474325393775215
11.0,2.1649496262188466,4.477616286980849
12.0,2.1636666174497354,4.480883120632215
13.0,2.1623966969391635,4.484126284129271
14.0,2.1611396311350957,4.487346157327309
15.0,2.1598951924576344,4.490543110848006
16.0,2.158663159098402,4.493717506377863
17.0,2.157443314828247,4.496869696954638
18.0,2.1562354488128634,4.500000027242346
19.0,2.1550393554359375,4.503108833795383
20.0,2.1538548341294548,4.506196445312274
21.0,2.1526816892108265,4.509263182879541
22.0,2.1515197297265063,4.512309360206139
23.0,2.150368769301795,4.5153352838489145
24.0,2.149228625996536,4.518341253429475
25.0,2.1480991221664323,4.521327561842876
26.0,2.1469800843297238,4.524294495458484
27.0,2.1458713430389755,4.527242334313381
28.0,2.14477273275775,4.530171352298612
29.0,2.1436840917419366,4.533081817338631
30.0,2.1426052619255325,4.535973991564206
31.0,2.141536088810677,4.538848131479092
32.0,2.1404764213617478,4.541704488120728
33.0,2.139426111903346,4.544543307215215
34.0,2.138385016021994,4.5473648293268285
35.0,2.1373529924713917,4.550169290002281
36.0,2.136329903081074,4.552956919909962
37.0,2.1353156126683244,4.555727944974368
38.0,2.1343099889532113,4.558482586505913
39.0,2.1333129024766087,4.561221061326315
40.0,2.1323242265210816,4.563943581889738
41.0,2.1313438370345157,4.5666503563998555
42.0,2.1303716125563774,4.5693415889230105
43.0,2.129407434146498,4.572017479497616
44.0,2.1284511853162775,4.574678224239951
45.0,2.127502751962212,4.577324015446497
46.0,2.1265620223016497,4.579955041692944
47.0,2.1256288868106887,4.582571487929996
48.0,2.12470323816413,4.585173535576104
49.0,2.123784971177405,4.587761362607244
50.0,2.1228739827504,4.590335143643848
51.0,2.121970171813108,4.592895050034998
52.0,2.121073439273029,4.595441249939987
53.0,2.12018368796426,4.597973908407347
54.0,2.1193008225982064,4.600493187451435
55.0,2.1184247497158513,4.602999246126666
56.0,2.11755537764153,4.605492240599485
57.0,2.116692616438147,4.607972324218155
58.0,2.1158363778637876,4.61043964758044
59.0,2.114986575329666,4.612894358599272
60.0,2.1141431238593684,4.615336602566446
61.0,2.113305940049336,4.617766522214443
62.0,2.1124749420305498,4.620184257776434
63.0,2.1116500494313692,4.622589947044524
64.0,2.110831183341485,4.624983725426308
65.0,2.1100182662769456,4.6273657259997885
66.0,2.1092112221462225,4.629736079566722
67.0,2.10840997621727,4.632094914704437
68.0,2.1076144550855553,4.634442357816179
69.0,2.106824586643014,4.636778533180044
70.0,2.1060403000479107,4.639103562996523
71.0,2.1052615256955587,4.641417567434735
72.0,2.1044881951898873,4.643720664677369
73.0,2.103720241315811,4.646012970964384
74.0,2.102957598012384,4.6482946006355155
75.0,2.102200200346711,4.650565666171617
76.0,2.101447984488586,4.652826278234882
77.0,2.100700887685838,4.655076545707981
78.0,2.099958848240361,4.657316575732145
79.0,2.0992218054848015,4.659546473744234
80.0,2.0984896997598863,4.66176634351282
81.0,2.0977624723923665,4.663976287173321
82.0,2.0970400656735615,4.666176405262204
83.0,2.096322422838478,4.668366796750305
84.0,2.0956094880454907,4.670547559075268
85.0,2.094901206356567,4.672718788173163
86.0,2.094197523718011,4.674880578509275
87.0,2.0934983869417207,4.677033023108115
88.0,2.0928037436869342,4.679176213582664
89.0,2.0921135424424553,4.681310240162871
90.0,2.0914277325093384,4.683435191723445
91.0,2.0907462639840224,4.6855511558109395
92.0,2.0900690877418984,4.687658218670163
93.0,2.0893961554212983,4.68975646526994
94.0,2.08872741940789,4.69184597932823
95.0,2.0880628328194697,4.693926843336633
96.0,2.0874023494911347,4.695999138584292
97.0,2.0867459239608324,4.69806294518122
98.0,2.0860935114552657,4.700118342081054
99.0,2.0854450678761527,4.70216540710327
100.0,2.0848005497868214,4.704204216954859
101.0,2.0841599143991396,4.706234847251488
102.0,2.0835231195607595,4.708257372538158
103.0,2.082890123742677,4.710271866309378
104.0,2.08226088602709,4.712278401028856
105.0,2.0816353660955533,4.714277048148739
106.0,2.0810135242174126,4.7162678781283995
107.0,2.08039532123852,4.718250960452783
108.0,2.079780718570216,4.720226363650343
109.0,2.079169678178572,4.722194155310553
110.0,2.078562162573886,4.724154402101023
111.0,2.0779581348004283,4.726107169784229
112.0,2.0773575584264212,4.72805252323386
113.0,2.076760397534257,4.729990526450794
114.0,2.076166616710937,4.731921242578724
115.0,2.075576181038738,4.733844733919426
116.0,2.074989056086084,4.735761061947693
