t,H,L
0.0,2.18,4.44
1.0,2.1800008901598416,4.439995234999913
2.0,2.1800016829256945,4.439990515184658
3.0,2.1800023789910523,4.439985839108733
4.0,2.1800029790407827,4.439981205345271
5.0,2.180003483751237,4.439976612485812
6.0,2.1800038937903565,4.439972059140066
7.0,2.1800042098177794,4.439967543935685
8.0,2.1800044324849446,4.439963065518033
9.0,2.180004562435196,4.439958622549967
10.0,2.180004600303884,4.4399542137116095
11.0,2.1800045467184663,4.439949837700137
12.0,2.1800044022986067,4.439945493229559
13.0,2.180004167656275,4.439941179030508
14.0,2.1800038433958426,4.439936893850026
15.0,2.1800034301141795,4.439932636451362
16.0,2.1800029284007474,4.439928405613759
17.0,2.180002338837695,4.43992420013226
18.0,2.1800016619999485,4.439920018817502
19.0,2.1800008984553045,4.439915860495523
20.0,2.180000048764519,4.439911724007562
21.0,2.1799991134813954,4.439907608209871
22.0,2.1799980931528746,4.4399035119735215
23.0,2.17999698831912,4.43989943418422
24.0,2.1799957995136023,4.439895373742118
25.0,2.179994527263187,4.439891329561635
26.0,2.179993172088215,4.439887300571273
27.0,2.1799917345025857,4.4398832857134405
28.0,2.1799902150138397,4.439879283944273
29.0,2.1799886141232374,4.439875294233463
30.0,2.179986932325839,4.439871315564087
31.0,2.1799851701105837,4.439867346932434
32.0,2.1799833279603655,4.43986338734784
33.0,2.1799814063521112,4.439859435832521
34.0,2.179979405756855,4.439855491421413
35.0,2.1799773266398126,4.439851553162004
36.0,2.1799751694604557,4.439847620114183
37.0,2.1799729346725845,4.4398436913500765
38.0,2.1799706227243982,4.439839765953896
39.0,2.179968234058568,4.4398358430217835
40.0,2.1799657691123056,4.4398319216616615
41.0,2.179963228317431,4.439828000993082
42.0,2.1799606121004445,4.439824080147081
43.0,2.17995792088259,4.439820158266029
44.0,2.1799551550799245,4.439816234503493
45.0,2.1799523151033813,4.439812308024087
46.0,2.179949401358837,4.439808378003339
47.0,2.1799464142471736,4.439804443627548
48.0,2.179943354164344,4.439800504093647
49.0,2.1799402215014316,4.439796558609071
50.0,2.1799370166447147,4.439792606391623
51.0,2.1799337399757253,4.439788646669338
52.0,2.17993039187131,4.4397846786803585
53.0,2.17992697270369,4.439780701672804
54.0,2.1799234828405183,4.439776714904644
55.0,2.179919922644938,4.439772717643573
56.0,2.179916292475641,4.439768709166886
57.0,2.179912592686921,4.43976468876136
58.0,2.1799088236287334,4.43976065572313
59.0,2.1799049856467465,4.43975660935757
60.0,2.1799010790823985,4.439752548979177
61.0,2.1798971042729494,4.439748473911457
62.0,2.179893061551535,4.439744383486807
63.0,2.1798889512472184,4.439740277046402
64.0,2.179884773685042,4.439736153940087
65.0,2.179880529186079,4.439732013526263
66.0,2.179876218067483,4.439727855171779
67.0,2.179871840642537,4.439723678251828
68.0,2.1798673972207037,4.439719482149836
69.0,2.1798628881076736,4.43971526625736
70.0,2.179858313605413,4.439711029973984
71.0,2.179853674012211,4.439706772707218
72.0,2.1798489696227255,4.439702493872396
73.0,2.1798442007280303,4.439698192892576
74.0,2.1798393676156596,4.439693869198441
75.0,2.179834470569654,4.439689522228208
76.0,2.1798295098706033,4.439685151427522
77.0,2.179824485795692,4.439680756249372
78.0,2.1798193986187413,4.439676336153989
79.0,2.1798142486102514,4.43967189060876
80.0,2.179809036037445,4.439667419088133
81.0,2.1798037611643086,4.43966292107353
82.0,2.179798424251632,4.439658396053254
83.0,2.179793025557051,4.439653843522407
84.0,2.1797875653350847,4.439649262982801
85.0,2.179782043837179,4.43964465394287
86.0,2.1797764613117416,4.439640015917589
87.0,2.179770818004183,4.43963534842839
88.0,2.1797651141569534,4.43963065100308
89.0,2.179759350009581,4.439625923175758
90.0,2.1797535257987084,4.439621164486738
91.0,2.1797476417581296,4.439616374482466
92.0,2.1797416981188262,4.439611552715446
93.0,2.179735695109003,4.43960669874416
94.0,2.1797296329541225,4.439601812132992
95.0,2.179723511876942,4.439596892452155
96.0,2.1797173320975443,4.439591939277614
97.0,2.1797110938333755,4.439586952191016
98.0,2.179704797299275,4.439581930779613
99.0,2.179698442707512,4.439576874636195
100.0,2.179692030267815,4.4395717833590185
101.0,2.1796855601874054,4.439566656551734
102.0,2.17967903267103,4.43956149382332
103.0,2.1796724479209915,4.439556294788016
104.0,2.1796658061371796,4.43955105906525
105.0,2.1796591075171023,4.439545786279582
106.0,2.1796523522559146,4.439540476060627
107.0,2.17964554054645,4.439535128043002
108.0,2.17963867257925,4.439529741866253
109.0,2.1796317485425907,4.439524317174797
110.0,2.1796247686225154,4.439518853617858
111.0,2.17961773300286,4.439513350849408
112.0,2.179610641865282,4.439507808528104
113.0,2.1796034953892884,4.439502226317229
114.0,2.179596293752262,4.439496603884635
115.0,2.1795890371294906,4.439490940902681
116.0,2.1795817256941903,4.439485237048179
117.0,2.1795743596175345,4.439479492002334
118.0,2.179566939068679,4.439473705450692
119.0,2.1795594642147877,4.439467877083081
120.0,2.1795519352210575,4.439462006593558
121.0,2.179544352250743,4.439456093680356
122.0,2.1795367154651824,4.439450138045827
123.0,2.1795290250238204,4.439444139396395
124.0,2.179521281084234,4.439438097442499
125.0,2.179513483802154,4.439432011898546
126.0,2.1795056333314906,4.439425882482856
127.0,2.1794977298243547,4.439419708917614
128.0,2.1794897734310816,4.439413490928825
129.0,2.179481764300254,4.439407228246256
130.0,2.179473702578724,4.439400920603397
131.0,2.179465588411633,4.439394567737409
132.0,2.179457421942438,4.439388169389078
133.0,2.179449203312928,4.439381725302767
134.0,2.179440932663248,4.4393752352263744
135.0,2.17943261013192,4.439368698911285
136.0,2.1794242358558615,4.439362116112329
137.0,2.1794158099704086,4.439355486587732
138.0,2.179407332609334,4.439348810099079
139.0,2.179398803904868,4.439342086411268
140.0,2.179390223987717,4.4393353152924675
141.0,2.1793815929870837,4.439328496514074
142.0,2.1793729110306863,4.4393216298506735
143.0,2.1793641782447772,4.439314715079998
144.0,2.1793553947541606,4.439307751982888
145.0,2.1793465606822124,4.439300740343249
146.0,2.179337676150898,4.439293679948018
147.0,2.1793287412807882,4.439286570587118
148.0,2.1793197561910804,4.439279412053426
149.0,2.1793107209996134,4.439272204142731
150.0,2.179301635822885,4.439264946653699
151.0,2.1792925007760706,4.439257639387836
152.0,2.179283315973038,4.43925028214945
153.0,2.1792740815263647,4.439242874745619
154.0,2.179264797547355,4.439235416986151
155.0,2.1792554641460553,4.439227908683553
156.0,2.17924608143127,4.439220349652993
157.0,2.179236649510578,4.43921273971227
158.0,2.179227168490348,4.439205078681775
159.0,2.179217638475753,4.439197366384465
160.0,2.1792080595707874,4.439189602645824
161.0,2.1791984318782793,4.439181787293832
162.0,2.1791887554999074,4.439173920158939
163.0,2.1791790305362153,4.439166001074021
164.0,2.179169257086625,4.439158029874363
165.0,2.179159435249451,4.439150006397619
166.0,2.179149565121917,4.4391419304837845
167.0,2.179139646800166,4.439133801975166
168.0,2.179129680379276,4.439125620716354
169.0,2.179119665953274,4.439117386554188
170.0,2.179109603615147,4.4391090993377365
171.0,2.1790994934568593,4.43910075891826
172.0,2.1790893355693606,4.439092365149186
173.0,2.1790791300426022,4.439083917886085
174.0,2.179068876965549,4.439075416986635
175.0,2.179058576426191,4.439066862310605
176.0,2.179048228511557,4.439058253719818
177.0,2.1790378333077256,4.439049591078132
178.0,2.179027390899838,4.43904087425141
179.0,2.1790169013721092,4.439032103107497
180.0,2.1790063648078415,4.43902327751619
181.0,2.1789957812894336,4.439014397349221
182.0,2.1789851508983937,4.439005462480225
183.0,2.1789744737153507,4.438996472784717
184.0,2.178963749820064,4.43898742814007
185.0,2.178952979291436,4.438978328425493
186.0,2.178942162207523,4.4389691735220005
187.0,2.178931298645545,4.4389599633123975
188.0,2.1789203886818966,4.438950697681251
189.0,2.178909432392157,4.438941376514869
190.0,2.178898429851102,4.438931999701279
191.0,2.1788873811327125,4.438922567130206
192.0,2.178876286310185,4.438913078693049
193.0,2.1788651454559425,4.438903534282861
194.0,2.1788539586416418,4.438893933794329
195.0,2.1788427259381864,4.4388842771237496
