t,H,L
0.0,2.18,4.44
1.0,2.192604481231532,4.402845758611967
2.0,2.205093848707217,4.3666783011747
3.0,2.2174625912328336,4.3314701902393535
4.0,2.2297049527859008,4.297195927802528
5.0,2.24181494037847,4.263831810540782
6.0,2.253197938817468,4.233112669657728
7.0,2.2615130674182278,4.211646422288791
8.0,2.267744080468823,4.196068046042276
9.0,2.272574103051098,4.184255671463573
10.0,2.2764041443950047,4.1750315022805
11.0,2.2794897800914105,4.167677364601498
12.0,2.282004059087452,4.161724392831694
13.0,2.284069679697583,4.156850228561841
14.0,2.285776819251227,4.1528241290737835
15.0,2.287199806686645,4.1494612503722035
16.0,2.2885127474868696,4.146350340038005
17.0,2.289799031922422,4.143296322606917
18.0,2.291058982540095,4.140298303948399
19.0,2.292292923962106,4.13735539609003
20.0,2.293501182649095,4.1344667174142415
21.0,2.294684086666244,4.131631392850802
22.0,2.295841965452843,4.1288485540646045
23.0,2.296975149595599,4.126117339638418
24.0,2.298083970605978,4.123436895250238
25.0,2.2991687607018387,4.12080637384494
26.0,2.3002298525936027,4.118224935799924
27.0,2.3012675792751836,4.115691749084533
28.0,2.302282273819881,4.113205989412984
29.0,2.3032742691814208,4.110766840390635
30.0,2.304243898000309,4.10837349365341
31.0,2.305191492415643,4.10602514900023
32.0,2.306117383882513,4.103721014518347
33.0,2.307021902995094,4.101460306701464
34.0,2.3079053793155357,4.099242250560586
35.0,2.3087681412087098,4.097066079727545
36.0,2.309610515682885,4.094931036551169
37.0,2.310432828236371,4.09283637218609
38.0,2.3112354027101563,4.090781346674204
39.0,2.3120185611465587,4.088765229018805
40.0,2.3127826236538866,4.086787297251452
41.0,2.3135279082770985,4.0848468384916155
42.0,2.3142547308744366,4.082943148999196
43.0,2.3149634049999968,4.081075534220001
44.0,2.3156542417921884,4.07924330882428
45.0,2.316327549868025,4.077445796738443
46.0,2.3169836352231803,4.0756823311700865
47.0,2.31762280113773,4.073952254626458
48.0,2.3182453480874976,4.0722549189265225
49.0,2.3188515736609125,4.070589685206765
50.0,2.319441772481279,4.068955923920909
51.0,2.3200162361343506,4.067353014833708
52.0,2.3205752531011057,4.065780347008988
53.0,2.3211191086955965,4.064237318792121
54.0,2.3216480850077628,4.06272333778711
55.0,2.3221624608510814,4.061237820828474
56.0,2.32266251171492,4.059780193948113
57.0,2.323148509721473,4.058349892337358
58.0,2.323620723587138,4.056946360304391
59.0,2.3240794185882074,4.055569051227211
60.0,2.32452485653073,4.054217427502377
61.0,2.3249572957244125,4.052890960489678
62.0,2.3253769909604163,4.051589130452949
