t,H,L
0.0,2.18,4.44
1.0,2.19180237253509,4.4028432523212775
2.0,2.2034858940276467,4.36666790060829
3.0,2.215045684669281,4.331445916722345
4.0,2.2264766560047913,4.297151175905967
5.0,2.2377735195137296,4.263759313481775
6.0,2.2483359137666823,4.233030156663653
7.0,2.255841461577899,4.211543686638445
8.0,2.2612733752454997,4.195933732672693
9.0,2.2653130611131616,4.184080427630127
10.0,2.2683604448944146,4.174807152155888
11.0,2.2706703002122417,4.16739662200149
12.0,2.2724150149904614,4.161380750941493
13.0,2.2737167074107454,4.156437909254025
14.0,2.2746650293020525,4.152338049267586
15.0,2.2753401189487916,4.148882123442891
16.0,2.2759413142967606,4.1455972702342745
17.0,2.2765210869835184,4.142359831512506
18.0,2.2770797437568535,4.139169009663042
19.0,2.277617590582684,4.136024016008191
20.0,2.2781349325076734,4.132924070856076
21.0,2.2786320735260883,4.12986840354526
22.0,2.2791093164509575,4.126856252484981
23.0,2.2795669627895903,4.1238868651909
24.0,2.2800053126234894,4.120959498316358
25.0,2.280424664492692,4.118073417679067
26.0,2.280825315284559,4.115227898283253
27.0,2.2812075601270196,4.112422224337228
28.0,2.281571692286276,4.109655689266408
29.0,2.281918003068956,4.106927595721788
30.0,2.282246781728701,4.104237255583931
31.0,2.2825583153771607,4.101583989962479
32.0,2.282852888899362,4.098967129191265
33.0,2.28313078487342,4.096386012819083
34.0,2.2833922834945315,4.093839989596178
35.0,2.283637662503214,4.091328417456537
36.0,2.2838671971177193,4.08885066349607
37.0,2.2840811599705644,4.086406103946776
38.0,2.284279821049112,4.0839941241469715
39.0,2.2844634476401238,4.0816141185077095
40.0,2.2846323042782126,4.0792654904754775
41.0,2.2847866526981124,4.076947652491293
42.0,2.2849267517906804,4.074660025946311
43.0,2.2850528575625466,4.072402041134058
44.0,2.2851652230993196,4.070173137199416
45.0,2.28526409853226,4.067972762084471
46.0,2.2853497310083224,4.065800372471365
47.0,2.285422364663478,4.063655433722259
48.0,2.285482240599216,4.061537419816542
49.0,2.2855295968621285,4.059445813285412
50.0,2.2855646684264808,4.0573801051439515
51.0,2.2855876871796705,4.055339794820828
52.0,2.285598881910474,4.053324390085739
53.0,2.285598478299981,4.051333406974731
54.0,2.285586698915128,4.049366369713514
55.0,2.2855637632047148,4.047422810638894
56.0,2.2855298874978294,4.0455022701184395
57.0,2.285485285004566,4.043604296468514
58.0,2.2854301658189513,4.04172844587077
59.0,2.285364736923981,4.039874282287242
60.0,2.2852892021986757,4.0380413773741335
61.0,2.2852037624270625,4.036229310394417
62.0,2.285108615308993,4.034437668129352
63.0,2.2850039554727104,4.032666044789023
64.0,2.2848899744890785,4.030914041922008
65.0,2.2847668608873852,4.029181268324267
66.0,2.2846348001726424,4.027467339947351
67.0,2.2844939748442945,4.025771879806029
68.0,2.284344564416263,4.024094517885415
69.0,2.2841867454382463,4.022434891047696
70.0,2.2840206915181978,4.020792642938524
71.0,2.2838465733459135,4.019167423893181
72.0,2.283664558717656,4.017558890842575
73.0,2.2834748125617446,4.015966707219145
74.0,2.283277496965045,4.014390542862763
75.0,2.283072771200298,4.012830073926684
76.0,2.282860791754218,4.011284982783618
77.0,2.282641712356306,4.009754957931994
78.0,2.2824156840083156,4.0082396939024685
79.0,2.282182855014318,4.006738891164735
80.0,2.2819433710113093,4.005252256034704
81.0,2.281697375000309,4.0037795005820875
82.0,2.2814450073779007,4.002320342538455
83.0,2.281186405968165,4.0008745052057915
84.0,2.280921706054958,3.999441717365621
85.0,2.2806510404144924,3.9980217131887192
86.0,2.2803745393481796,3.9966142321454683
87.0,2.280092330715687,3.9952190189168877
88.0,2.279804539968179,3.993835823306371
89.0,2.279511290181698,3.9924644001521687
90.0,2.279212702090656,3.9911045092406443
91.0,2.278908894121397,3.989755915220332
92.0,2.2785999824258005,3.988418387516822
93.0,2.278286080914901,3.9870917002485
94.0,2.2779673012924846,3.9857756321431617
95.0,2.2776437530886433,3.984469966455524
96.0,2.2773155436932564,3.9831744908856503
97.0,2.2769827783893786,3.9818889974983085
98.0,2.276645560386507,3.9806132826432767
99.0,2.2763039908537075,3.9793471468766115
100.0,2.2759581689525827,3.9780903948828885
101.0,2.275608191870056,3.9768428353984286
102.0,2.275254154850957,3.97560428113552
103.0,2.2748961512303945,3.9743745487076403
104.0,2.274534272465894,3.973153458555692
105.0,2.2741686081692913,3.971940834875248
106.0,2.273799246138365,3.9707365055448225
107.0,2.2734262723881953,3.96954030205516
108.0,2.2730497711822384,3.968352059439553
109.0,2.272669825063107,3.967171616205186
110.0,2.272286514883043,3.9659988142655043
111.0,2.2718999198340732,3.9648334988736122
112.0,2.2715101174778463,3.963675518556695
113.0,2.2711171837751354,3.962524725051464
114.0,2.2707211931150026,3.9613809732406198
115.0,2.270322218343621,3.960244121090335
116.0,2.2699203307927456,3.9591140295887466
117.0,2.2695156003078276,3.957990562685455
118.0,2.269108095275774,3.9568735872320233
119.0,2.268697882652341,3.9557629729234756
120.0,2.268285027989161,3.954658592240776
121.0,2.267869595460403,3.953560320394297
122.0,2.267451647889062,3.9524680352682524
123.0,2.2670312467728717,3.9513816173661036
124.0,2.26660845230985,3.950300949756915
125.0,2.266183323423464,3.949225918022662
126.0,2.2657559177874202,3.9481564102064763
127.0,2.265326291850085,3.947092316761817
128.0,2.2648945008585217,3.946033530502565
129.0,2.2644605988821604,3.9449799465540245
130.0,2.2640246388360903,3.943931462304822
131.0,2.2635866725039797,3.9428879773596965
132.0,2.263146750560627,3.941849393493163
133.0,2.262704922594141,3.940815614604046
134.0,2.2622612371277557,3.939786546670869
135.0,2.2618157416412767,3.9387620977080826
136.0,2.26136848259217,3.9377421777231354
137.0,2.2609195054362856,3.9367266986743568
138.0,2.2604688546482286,3.9357155744296564
139.0,2.260016573741372,3.934708720726021
140.0,2.2595627052875225,3.9337060551297984
141.0,2.259107290936235,3.932707496997756
142.0,2.258650371433783,3.9317129674389046
143.0,2.2581919866417914,3.9307223892770766
144.0,2.2577321755555277,3.929735687014241
145.0,2.2572709763218617,3.928752786794552
146.0,2.2568084262568955,3.9277736163691124
147.0,2.2563445618632665,3.926798105061444
148.0,2.255879418847129,3.925826183733655
149.0,2.255413032134819,3.9248577847532875
150.0,2.2549454358892023,3.923892841960837
151.0,2.2544766635257147,3.922931290637937
152.0,2.254006747728097,3.9219730674761877
153.0,2.253535720463827,3.9210181105466257
154.0,2.2530636129992554,3.9200663592698204
155.0,2.252590455914448,3.919117754386586
156.0,2.2521162791177414,3.9181722379292996
157.0,2.2516411118600095,3.9172297531938134
158.0,2.2511649827486555,3.9162902447119503
159.0,2.250687919761324,3.9153536582245736
160.0,2.250209950259344,3.9144199406552183
161.0,2.2497311010009025,3.9134890400842757
162.0,2.2492513981539566,3.9125609057237196
163.0,2.2487708673088873,3.9116354878923656
164.0,2.248289533490896,3.91071273799165
165.0,2.247807421172155,3.909792608481925
166.0,2.2473245542837064,3.9088750528592495
167.0,2.2468409562271257,3.9079600256326823
168.0,2.2463566498859415,3.907047482302049
169.0,2.2458716576368247,3.9061373793361898
170.0,2.245386001360548,3.9052296741516677
171.0,2.244899702452719,3.904324325091936
172.0,2.244412781834291,3.903421291406949
173.0,2.24392525996186,3.9025205332332127
174.0,2.243437156837742,3.901622011574265
175.0,2.2429484920198464,3.9007256882815744
176.0,2.2424592846313396,3.8998315260358543
177.0,2.2419695533701085,3.898939488328777
178.0,2.2414793165180247,3.8980495394450876
179.0,2.240988591950014,3.8971616444451036
180.0,2.2404973971429363,3.8962757691475938
181.0,2.2400057491842764,3.8953918801130305
182.0,2.2395136647806515,3.894509944627207
183.0,2.239021160266139,3.89362993068521
184.0,2.2385282516104286,3.8927518069757427
185.0,2.238034954426796,3.891875542865791
186.0,2.237541283979915,3.8910011083856246
187.0,2.237047255193494,3.890128474214125
188.0,2.2365528826577568,3.8892576116644375
189.0,2.2360581806367574,3.888388492669936
190.0,2.2355631630755424,3.8875210897704964
191.0,2.235067843607155,3.8866553760990734
192.0,2.2345722355594937,3.88579132536857
193.0,2.2340763519620177,3.8849289118589967
194.0,2.233580205552312,3.8840681104049146
195.0,2.233083808782508,3.883208896383156
196.0,2.2325871738255665,3.8823512457008125
197.0,2.2320903125814247,3.8814951347834934
198.0,2.231593236683008,3.880640540563839
199.0,2.2310959575021143,3.8797874404702917
200.0,2.230598486155168,3.878935812416111
201.0,2.2301008335088506,3.878085634788638
202.0,2.2296030101856057,3.8772368864387916
203.0,2.229105026569028,3.8763895466708016
204.0,2.2286068928091316,3.875543595232168
205.0,2.228108618827505,3.874699012303843
206.0,2.2276102143223513,3.8738557784906313
207.0,2.2271116887734212,3.873013874811804
208.0,2.226613051446835,3.872173282691921
209.0,2.2261143113998014,3.8713339839518564
210.0,2.225615477485229,3.8704959608000244
211.0,2.225116558356242,3.869659195823802
212.0,2.224617562470592,3.868823671981139
213.0,2.2241184980949757,3.8679893725923575
214.0,2.223619373309255,3.867156281332134
215.0,2.2231201960105866,3.8663243822216584
216.0,2.222620973917461,3.86549365962097
217.0,2.2221217145736487,3.864664098221463
218.0,2.2216224253520642,3.8638356830385576
219.0,2.221123113458541,3.8630083994045394
220.0,2.2206237859355262,3.8621822329615534
221.0,2.2201244496656902,3.8613571696547564
222.0,2.21962511137546,3.860533195725623
223.0,2.219125777638473,3.8597102977054
224.0,2.2186264548789536,3.8588884624087068
225.0,2.2181271493750154,3.8580676769272793
226.0,2.217627867261893,3.857247928623853
227.0,2.217128614535098,3.8564292051261835
228.0,2.216629397053508,3.8556114943211988
229.0,2.2161302205423863,3.8547947843492847
230.0,2.215631090596334,3.853979063598696
231.0,2.2151320126821794,3.8531643207000927
232.0,2.2146329921417993,3.852350544521199
233.0,2.2141340341948808,3.851537724161582
234.0,2.21363514394162,3.8507258489475436
235.0,2.2131363263653636,3.849914908427133
236.0,2.212637586335188,3.8491048923652644
237.0,2.212138928608424,3.848295790738946
238.0,2.2116403578331245,3.8474875937326174
239.0,2.2111418785504777,3.846680291733588
240.0,2.2106434951971665,3.8458738753275794
241.0,2.2101452121076752,3.845068335294367
242.0,2.209647033516546,3.844263662603518
243.0,2.2091489635605837,3.8434598484102263
244.0,2.2086510062810136,3.8426568840512383
245.0,2.20815316562559,3.841854761040871
246.0,2.2076554454506576,3.841053471067119
247.0,2.207157849523169,3.8402530059878486
248.0,2.2066603815226546,3.839453357827075
249.0,2.206163045043151,3.8386545187713246
250.0,2.2056658435950864,3.837856481166078
251.0,2.2051687806071216,3.8370592375122925
252.0,2.2046718594279544,3.8362627804630005
253.0,2.20417508332808,3.835467102819986
254.0,2.203678455501515,3.834672197530534
255.0,2.2031819790674803,3.833878057684253
256.0,2.2026856570720494,3.8330846765099666
257.0,2.202189492489759,3.832292047372678
258.0,2.2016934882251835,3.831500163770597
259.0,2.2011976471144754,3.8307090193322386
260.0,2.2007019719268706,3.829918607813582
261.0,2.2002064653661595,3.8291289230952943
262.0,2.199711130072129,3.828339959180018
263.0,2.199215968621967,3.8275517101897143
264.0,2.1987209835316435,3.8267641703630715
265.0,2.1982261772572502,3.8259773340529653
266.0,2.1977315521963217,3.8251911957239777
267.0,2.1972371106891195,3.8244057499499737
268.0,2.1967428550198917,3.823620991411728
269.0,2.1962487874181025,3.822836914894605
270.0,2.195754910059635,3.8220535152862944
271.0,2.1952612250679695,3.82127078757459
