t,H,L
0.0,2.18,4.44
1.0,2.1916018449777046,4.402842626324974
2.0,2.2030843198044585,4.366665306646307
3.0,2.2144427012958934,4.331439872360591
4.0,2.2256720655854454,4.297140050295472
5.0,2.2367672968160934,4.26374131981951
6.0,2.2471266171525794,4.233009710920118
7.0,2.2544322318148153,4.211518282776665
8.0,2.2596672084862504,4.195900588744573
9.0,2.2635125198053445,4.18403726567698
10.0,2.266367816764164,4.1747519919550635
11.0,2.2684876692991094,4.167327708327627
12.0,2.2700442976555215,4.161296524824034
13.0,2.2711596733085235,4.156336994163262
14.0,2.2719233156973058,4.1522192417112125
15.0,2.2724167481690873,4.148740791297371
16.0,2.272845328771517,4.145413917258124
17.0,2.273254105288316,4.142132253104275
18.0,2.273643375495294,4.13889503289336
19.0,2.274013435850542,4.135701500012275
20.0,2.274364581382145,4.132550907192222
21.0,2.2746971055799765,4.129442516519819
22.0,2.2750113002916037,4.126375599444336
23.0,2.2753074556223116,4.123349436781046
24.0,2.275585859839247,4.120363318710678
25.0,2.2758467992796825,4.117416544774983
26.0,2.2760905582633857,4.114508423868439
27.0,2.27631741900907,4.111638274226103
28.0,2.2765276615549044,4.108805423407668
29.0,2.2767215636830493,4.106009208277752
30.0,2.27689940084817,4.103248974982488
31.0,2.2770614461098915,4.10052407892247
32.0,2.2772079700691394,4.09783388472212
33.0,2.277339240808308,4.095177766195554
34.0,2.2774555238351994,4.092555106309032
35.0,2.277557082030667,4.0899652971400675
36.0,2.2776441755998906,4.087407739833295
37.0,2.277717062027217,4.084881844553182
38.0,2.277775996034486,4.082387030433694
39.0,2.277821229542764,4.079922725525003
40.0,2.2778530116374047,4.077488366737342
41.0,2.277871588536357,4.075083399782129
42.0,2.2778772035616286,4.072707279110448
43.0,2.2778700971138233,4.070359467848997
44.0,2.2778505066496657,4.068039437733634
45.0,2.2778186666624203,4.065746669040605
46.0,2.2777748086651175,4.063480650515586
47.0,2.2777191611764973,4.061240879300632
48.0,2.27765194970958,4.059026860859168
49.0,2.277573396762772,4.056838108899103
50.0,2.277483721813417,4.054674145294203
51.0,2.2773831413137082,4.052534500003814
52.0,2.2772718686888584,4.050418710991057
53.0,2.2771501143374566,4.048326324139582
54.0,2.277018085633909,4.046256893169011
55.0,2.276875986932885,4.044209979549148
56.0,2.27672401957568,4.042185152413073
57.0,2.2765623818984086,4.040181988469214
58.0,2.276391269241948,4.038200071912492
59.0,2.2762108739635485,4.036238994334639
60.0,2.276021385450026,4.034298354633775
61.0,2.275822990132468,4.032377758923339
62.0,2.2756158715023598,4.0304768204404535
63.0,2.275400210129075,4.028595159453824
64.0,2.2751761836786355,4.026732403171232
65.0,2.2749439669336873,4.024888185646729
66.0,2.2747037318146077,4.023062147687576
67.0,2.2744556474016835,4.021253936761038
68.0,2.274199879958291,4.019463206901075
69.0,2.273936592955013,4.017689618615018
70.0,2.273665947094631,4.01593283879029
71.0,2.273388100337929,4.014192540601233
72.0,2.2731032079302524,4.012468403416103
73.0,2.2728114224287674,4.010760112704303
74.0,2.272512893730357,4.009067359943884
75.0,2.272207769100111,4.007389842529402
76.0,2.271896193200351,4.005727263680146
77.0,2.2715783081201453,4.00407933234882
78.0,2.2712542534052607,4.002445763130691
79.0,2.270924166088514,4.000826276173275
80.0,2.27058818072047,3.9992205970865893
81.0,2.2702464294004505,3.9976284568540024
82.0,2.2698990418078075,3.9960495917437386
83.0,2.26954614523343,3.9944837432210543
84.0,2.2691878646114385,3.9929306578611232
85.0,2.2688243225510383,3.9913900872626664
86.0,2.268455639368494,3.989861787962347
87.0,2.2680819331191935,3.988345521349962
88.0,2.267703319629773,3.9868410535844547
89.0,2.2673199125302688,3.9853481555107653
90.0,2.2669318232862743,3.983866602577548
91.0,2.2665391612310697,3.9823961747557717
92.0,2.2661420335977027,3.9809366564582134
93.0,2.2657405455509974,3.9794878364598762
94.0,2.265334800219463,3.978049507819331
95.0,2.2649248987270902,3.9766214678010026
96.0,2.2645109402250063,3.9752035177984113
97.0,2.264093021922975,3.9737954632583787
98.0,2.2636712391207237,3.9723971136062053
99.0,2.2632456852390774,3.9710082821718307
100.0,2.262816451850889,3.969628786116979
101.0,2.2623836287117456,3.968258446363299
102.0,2.2619473037904427,3.9668970875214997
103.0,2.26150756329921,3.965544537821484
104.0,2.261064491723677,3.9642006290434875
105.0,2.260618171852572,3.9628651964502155
106.0,2.2601686848071365,3.9615380787199874
107.0,2.2597161100702516,3.9602191178808805
108.0,2.2592605255152693,3.9589081592458757
109.0,2.2588020074345336,3.9576050513490033
110.0,2.258340630567592,3.9563096458824814
111.0,2.2578764681290857,3.9550217976348496
112.0,2.257409591836316,3.9537413644300896
113.0,2.2569400719364787,3.9524682070677275
114.0,2.2564679772335663,3.9512021892639164
115.0,2.2559933751149277,3.9499431775934877
116.0,2.255516331577489,3.94869104143297
117.0,2.2550369112536277,3.9474456529045656
118.0,2.2545551774366963,3.9462068868210762
119.0,2.254071192106201,3.944974620631774
120.0,2.253585015952624,3.943748734369207
121.0,2.253096708401896,3.9425291105969285
122.0,2.252606327639514,3.9413156343581472
123.0,2.252113930634304,3.9401081931252855
124.0,2.2516195731618303,3.9389066767504337
125.0,2.2511233098274523,3.9377109774166965
126.0,2.2506251940890247,3.9365209895904174
127.0,2.2501252782792465,3.935336609974274
128.0,2.2496236136276586,3.93415773746123
129.0,2.2491202502822905,3.932984273089338
130.0,2.248615237330959,3.931816119997379
131.0,2.2481086228222176,3.93065318338133
132.0,2.247600453785965,3.9294953704516473
133.0,2.2470907762537062,3.928342590391356
134.0,2.246579635278477,3.9271947543149346
135.0,2.2460670749544285,3.9260517752279815
136.0,2.2455531384360765,3.9249135679876552
137.0,2.2450378679572207,3.9237800492638755
138.0,2.2445213048495325,3.9226511375012745
139.0,2.244003489560816,3.9215267528818867
140.0,2.24348446167295,3.9204068172885673
141.0,2.2429642599195057,3.9192912542691265
142.0,2.2424429222030513,3.918179989001169
143.0,2.241920485612143,3.917072948257627
144.0,2.2413969864380063,3.9159700603729806
145.0,2.240872460190914,3.914871255210143
146.0,2.2403469416162585,3.9137764641280137
147.0,2.239820464710333,3.912685619949679
148.0,2.2392930627358094,3.91159865693125
149.0,2.2387647682369356,3.9105155107313334
150.0,2.2382356130544383,3.9094361183811155
151.0,2.2377056283401497,3.9083604182550573
152.0,2.2371748445713515,3.9072883500421827
153.0,2.2366432915648464,3.906219854717956
154.0,2.2361109984907586,3.905154874516733
155.0,2.2355779938860683,3.9040933529047774
156.0,2.2350443056678833,3.9030352345538355
157.0,2.234509961146452,3.9019804653152526
158.0,2.233974987037921,3.9009289921946264
159.0,2.233439409476845,3.8998807633269856
160.0,2.232903254028447,3.898835727952486
161.0,2.2323665457006374,3.8977938363926095
162.0,2.2318293089557946,3.8967550400268625
163.0,2.2312915677223093,3.8957192912699616
164.0,2.230753345405901,3.8946865435494957
165.0,2.230214664900705,3.8936567512840594
166.0,2.2296755486001354,3.892629869861844
167.0,2.2291360184075324,3.8916058556196824
168.0,2.228596095746591,3.8905846658225354
169.0,2.2280558015715797,3.8895662586434105
