t,H,L
0.0,2.18,4.44
1.0,2.1921031635838104,4.402844191747885
2.0,2.204088831267275,4.36667179706413
3.0,2.215951888494609,4.331455005847949
4.0,2.2276869989842347,4.297167924412891
5.0,2.239288613071676,4.26378643162465
6.0,2.2501585114696754,4.23306100665627
7.0,2.257967398306636,4.2115820739467065
8.0,2.263698693374355,4.195983888763672
9.0,2.2680344490017355,4.184145832665831
10.0,2.271374998492208,4.174890844542085
11.0,2.273975417065393,4.1675013066645645
12.0,2.2760083409378127,4.161508841327958
13.0,2.2775961058406247,4.15659154692596
14.0,2.2788285603297,4.152519116989688
15.0,2.279783702881758,4.149097765975713
16.0,2.2806515785774346,4.145877448731262
17.0,2.2814960740391412,4.142708029435314
18.0,2.282317503948862,4.139588671844834
19.0,2.2831161831487834,4.136518547805608
20.0,2.283892426467522,4.133496837353308
21.0,2.2846465485504712,4.130522728809938
22.0,2.285378863694404,4.1275954188754636
23.0,2.286089685686464,4.124714112714482
24.0,2.2867793276476553,4.121878024037801
25.0,2.2874481018809374,4.119086375178801
26.0,2.2880963197240036,4.11633839716451
27.0,2.288724291406821,4.113633329781291
28.0,2.289332325913988,4.11097042163511
29.0,2.28992073085196,4.108348930206329
30.0,2.290489812321171,4.105768121899015
31.0,2.2910398747930856,4.103227272084744
32.0,2.291571220992177,4.100725665140924
33.0,2.29208415178285,4.09826259448365
34.0,2.292578966061285,4.095837362595122
35.0,2.2930559606521927,4.093449281045694
36.0,2.293515430210447,4.091097670510585
37.0,2.2939576671275637,4.088781860781347
38.0,2.2943829614429765,4.086501190772154
39.0,2.294791600760061,4.084255008521009
40.0,2.295183870166845,4.082042671185965
41.0,2.2955600521613415,4.079863545036457
42.0,2.2959204265814317,4.077717005439876
43.0,2.2962652705392195,4.075602436843476
44.0,2.296594858359778,4.073519232751765
45.0,2.2969094615242,4.071466795699488
46.0,2.297209348616858,4.069444537220345
47.0,2.297494785276786,4.067451877811581
48.0,2.2977660341530797,4.065488246894572
49.0,2.2980233548642146,4.063553082771576
50.0,2.298267003961183,4.061645832578771
51.0,2.2984972348943407,4.059765952235727
52.0,2.298714297983857,4.057912906391474
53.0,2.2989184403936638,4.056086168367292
54.0,2.299109906108787,4.054285220096391
55.0,2.299288935915961,4.052509552060608
56.0,2.299455767387402,4.050758663224283
57.0,2.299610634867646,4.049032060965454
58.0,2.299753769463326,4.047329261004514
59.0,2.2998853990357895,4.045649787330472
60.0,2.30000574819644,4.043993172124963
61.0,2.3001150383046998,4.0423589556841435
62.0,2.30021348746848,4.040746686338615
63.0,2.300301310547059,4.0391559203714955
64.0,2.300378719156256,4.03758622193479
65.0,2.300445921675807,4.036037162964172
66.0,2.3005031232588276,4.034508323092317
67.0,2.300550525843276,4.032999289560896
68.0,2.3005883281653103,4.031509657131366
69.0,2.3006167257744448,4.030039027994656
70.0,2.3006359110504135,4.028587011679881
71.0,2.3006460732216465,4.027153224962178
72.0,2.3006473983852715,4.025737291769778
73.0,2.3006400695285505,4.02433884309042
74.0,2.3006242665516683,4.022957516877203
75.0,2.3006001662917903,4.0215929579539695
76.0,2.300567942548306,4.02024481792032
77.0,2.300527766109184,4.018912755056344
78.0,2.300479804778357,4.017596434227155
79.0,2.3004242234040744,4.016295526787311
80.0,2.300361183908136,4.015009710485198
81.0,2.3002908453159514,4.013738669367454
82.0,2.3002133637873525,4.01248209368351
83.0,2.3001288926480967,4.011239679790308
84.0,2.3000375824219996,4.010011130057268
85.0,2.2999395808636365,4.008796152771563
86.0,2.2998350329915587,4.007594462043772
87.0,2.299724081121966,4.006405777713948
88.0,2.299606864902787,4.005229825258173
89.0,2.299483521348115,4.0040663356956365
90.0,2.2993541848729495,4.002915045496301
91.0,2.2992189873282025,4.0017756964891795
92.0,2.2990780580359194,4.000648035771288
93.0,2.298931523824677,3.9995318156172917
94.0,2.298779509065118,3.9984267933899
95.0,2.2986221357055827,3.997332731451034
96.0,2.2984595233077996,3.9962493970738038
97.0,2.2982917890826084,3.995176562355321
98.0,2.2981190479256726,3.9941140041303766
99.0,2.297941412453158,3.9930615038860138
100.0,2.2977589930373457,3.9920188476770084
101.0,2.2975718978421504,3.9909858260422895
102.0,2.2973802328585204,3.989962233922312
103.0,2.2971841019396932,3.9889478705774044
104.0,2.296983606836284,3.9879425395071015
105.0,2.2967788472311854,3.9869460483704815
106.0,2.2965699207742585,3.9859582089075176
107.0,2.296356923116794,3.984978836861454
108.0,2.2961399479457283,3.9840077519022175
109.0,2.295919087017598,3.983044777550874
110.0,2.295694430192214,3.9820897411051313
111.0,2.2954660654660444,3.981142473565899
112.0,2.2952340790052923,3.9802028095649065
113.0,2.294998555178654,3.979270587293384
114.0,2.2947595765897493,3.978345648431805
115.0,2.2945172241092133,3.9774278380806987
116.0,2.294271576906436,3.9765170046925173
117.0,2.2940227124809485,3.975613000004577
118.0,2.29377070669344,3.974715678973051
119.0,2.2935156337964084,3.9738248997080277
120.0,2.293257566464426,3.9729405234096173
121.0,2.292996575824028,3.972062414305113
122.0,2.2927327314832078,3.971190439587193
123.0,2.2924661015605214,3.970324469353164
124.0,2.292196752713797,3.969464376545237
125.0,2.2919247501684445,3.968610036891826
126.0,2.2916501577453623,3.967761328849867
127.0,2.2913730378884436,3.966918133548147
128.0,2.2910934516916766,3.9660803347316307
129.0,2.290811458925838,3.9652478187067848
130.0,2.290527118064783,3.9644204742878806
131.0,2.290240486311327,3.963598192744272
132.0,2.2899516196227236,3.9627808677486365
133.0,2.2896605727357353,3.9619683953261697
134.0,2.289367399191302,3.96116067380472
135.0,2.2890721513588073,3.960357603765857
136.0,2.2887748804599415,3.9595590879968574
137.0,2.2884756365921683,3.9587650314436043
138.0,2.2881744687517935,3.9579753411643783
139.0,2.287871424856639,3.9571899262845402
