t,H,L
0.0,2.18,4.44
1.0,2.192253558978802,4.40284466165573
2.0,2.2043901831295702,4.3666737465241034
3.0,2.2164046390485286,4.331459554070913
4.0,2.22829146502159,4.297176306743152
5.0,2.2400449792468184,4.263800005818777
6.0,2.2510680379358563,4.233076449830205
7.0,2.259027883382194,4.2116012923012125
8.0,2.264908038608673,4.1960090015807685
9.0,2.269390879133068,4.1841785826288485
10.0,2.272876942361719,4.1749327524529045
11.0,2.2756214547652687,4.167553725415667
12.0,2.277797177290277,4.161572976741692
13.0,2.2795265551263997,4.156668467435791
14.0,2.2808995359406534,4.152609760122511
15.0,2.2819930375887747,4.149205714140133
16.0,2.2829924093451495,4.146017757261623
17.0,2.2839672977881342,4.142882443216391
18.0,2.2849180216811087,4.13979891574447
19.0,2.285844900475681,4.136766326179882
20.0,2.2867482541182405,4.1337838335804165
21.0,2.287628402860469,4.130850604852721
22.0,2.2884856670740144,4.127965814872442
23.0,2.289320367069486,4.125128646599216
24.0,2.290132822919948,4.122338291186327
25.0,2.2909233542890393,4.119593948084858
26.0,2.2916922802638555,4.116894825142205
27.0,2.2924399191927,4.114240138694825
28.0,2.293166588527804,4.11162911365513
29.0,2.2938726046730924,4.109060983592442
30.0,2.294558282837066,4.106534990807951
31.0,2.295223936890856,4.10405038640365
32.0,2.2958698792314833,4.101606430345205
33.0,2.296496420650357,4.099202391518773
34.0,2.297103870207026,4.096837547781769
35.0,2.297692535108182,4.094511186007615
36.0,2.298262720591915,4.092222602124505
37.0,2.2988147298171944,4.08997110114825
38.0,2.2993488637585524,4.087755997209256
39.0,2.2998654211059315,4.085576613573728
40.0,2.300364698169648,4.083432282659179
41.0,2.300846988790417,4.081322346044337
42.0,2.301312584254379,4.079246154473581
43.0,2.3017617732130535,4.0772030678559865
44.0,2.3021948416081504,4.075192455259141
45.0,2.302612072601147,4.07321369489783
46.0,2.303013746507555,4.071266174117743
47.0,2.3034001407357727,4.0693492893743395
48.0,2.3037715297304358,4.067462446207018
49.0,2.3041281849201565,4.065605059208735
50.0,2.3044703746695525,4.063776551991237
51.0,2.304798364235455,4.061976357146043
52.0,2.305112415727186,4.0602039162013535
