t,H,L
0.0,2.18,4.44
1.0,2.178755030912951,4.443556393802226
2.0,2.1775249286022405,4.4470864681404505
3.0,2.176309411093744,4.450590675363327
4.0,2.1751082040830876,4.454069456112762
5.0,2.1739210406617593,4.457523239726327
6.0,2.172747661055301,4.46095244462246
7.0,2.171587812372937,4.464357478669351
8.0,2.1704412483680557,4.46773873953831
9.0,2.169307729208976,4.471096615042427
10.0,2.1681870212594867,4.474431483461229
11.0,2.1670788968686505,4.47774371385204
12.0,2.1659831341694216,4.481033666348684
13.0,2.1648995168856264,4.484301692448155
14.0,2.163827834146905,4.487548135285824
15.0,2.1627678803112156,4.4907733298997305
16.0,2.1617194547945413,4.493977603484485
17.0,2.1606823619074453,4.497161275635253
18.0,2.1596564106981564,4.500324658582301
19.0,2.1586414148018647,4.5034680574165264
20.0,2.157637192295945,4.506591770306394
21.0,2.156643565560825,4.509696088706663
22.0,2.155660361146237,4.512781297559283
23.0,2.1546874096426096,4.515847675486802
24.0,2.153724545557363,4.518895494978625
25.0,2.152771607195881,4.521925022570436
26.0,2.1518284365469604,4.5249365190170865
27.0,2.150894879172523,4.52793023945923
28.0,2.149970784101416,4.530906433583974
29.0,2.1490560037271136,4.5338653457798115
30.0,2.1481503937091477,4.536807215286065
31.0,2.1472538128781107,4.539732276337085
32.0,2.146366123144075,4.542640758301416
33.0,2.145487189408282,4.545532885816146
34.0,2.1446168794779625,4.548408878916632
35.0,2.143755063984158,4.551268953161794
36.0,2.1429016163024146,4.5541133197551655
37.0,2.1420564124762316,4.556942185661858
38.0,2.141219331143152,4.559755753721616
39.0,2.1403902534633845,4.562554222758119
40.0,2.139569063050854,4.5653377876846655
41.0,2.138755645906586,4.5681066396064
42.0,2.137949890354325,4.5708609659192065
43.0,2.1371516869783016,4.573600950405404
44.0,2.136360928563065,4.576326773326363
45.0,2.135577510035293,4.579038611512162
46.0,2.134801328407509,4.58173663844841
47.0,2.1340322827236267,4.584421024360313
48.0,2.1332702740062537,4.587091936294122
49.0,2.1325152052056895,4.589749538196044
50.0,2.1317669811505464,4.592393990988697
51.0,2.1310255084999374,4.595025452645236
52.0,2.1302906956971714,4.5976440782611965
53.0,2.129562452924895,4.600250020124166
54.0,2.1288406920616327,4.602843427781351
55.0,2.12812532663967,4.605424448105112
56.0,2.127416271804231,4.607993225356556
57.0,2.1267134442739035,4.61054990124723
58.0,2.1260167623022657,4.613094614999011
59.0,2.1253261456406722,4.615627503402231
60.0,2.1246415155021547,4.618148700872117
61.0,2.123962794526403,4.6206583395035965
62.0,2.123289906745781,4.6231565491245235
63.0,2.122622777552348,4.625643457347384
64.0,2.1219613336658445,4.628119189619532
65.0,2.121305503102613,4.630583869272004
66.0,2.120655215145417,4.63303761756696
67.0,2.120010400314135,4.6354805537438
68.0,2.119370990337286,4.6379127950640004
69.0,2.1187369181243745,4.6403344568547045
70.0,2.118108117739015,4.642745652551122
71.0,2.1174845243728133,4.6451464937377684
72.0,2.116866074319983,4.647537090188577
73.0,2.1162527049526654,4.649917549905936
74.0,2.1156443546969363,4.652287979158668
75.0,2.115040963009474,4.654648482519
76.0,2.1144424703548643,4.656999162898543
77.0,2.113848818183529,4.659340121583331
78.0,2.113259948910248,4.661671458267923
79.0,2.112675805893265,4.663993271088628
80.0,2.1120963334139518,4.66630565665585
81.0,2.1115214766570163,4.6686087100856115
82.0,2.110951181691235,4.670902525030249
83.0,2.110385395450696,4.673187193708334
84.0,2.1098240657165346,4.675462806933822
85.0,2.1092671410991453,4.677729454144472
86.0,2.1087145710208577,4.679987223429536
87.0,2.1081663056990614,4.682236201556768
88.0,2.107622296129762,4.684476473998745
89.0,2.1070824940715642,4.686708124958543
90.0,2.1065468520300565,4.688931237394774
91.0,2.1060153232425973,4.691145893046007
92.0,2.1054878616634825,4.693352172454592
93.0,2.104964421949485,4.695550154989904
94.0,2.104444959445757,4.697739918871024
95.0,2.1039294301720837,4.699921541188868
96.0,2.103417790809473,4.702095097927792
97.0,2.102909998687081,4.704260663986678
98.0,2.1024060117694527,4.706418313199514
99.0,2.101905788644079,4.708568118355494
100.0,2.1014092885092497,4.710710151218644
101.0,2.100916471162206,4.712844482546979
102.0,2.1004272969875735,4.714971182111228
103.0,2.099941726946074,4.71709031871311
104.0,2.099459722563506,4.719201960203199
105.0,2.098981245919985,4.721306173498368
106.0,2.0985062596394397,4.723403024598844
107.0,2.0980347268793538,4.725492578604866
108.0,2.0975666113207474,4.7275748997329705
109.0,2.0971018771583925,4.7296500513319035
110.0,2.096640489091253,4.731718095898183
111.0,2.0961824123131487,4.733779095091306
112.0,2.0957276125036297,4.735833109748621
113.0,2.0952760558190624,4.7378801998998705
114.0,2.094827708883917,4.739920424781408
115.0,2.0943825387822517,4.741953842850109
116.0,2.09394051304939,4.743980511796976
117.0,2.0935015996637842,4.7460004885604405
118.0,2.0930657670390613,4.748013829339389
119.0,2.0926329840162454,4.750020589605896
120.0,2.092203219856152,4.752020824117689
121.0,2.091776444231951,4.754014586930346
122.0,2.091352627221893,4.7560019314092346
123.0,2.0909317393021936,4.757982910241194
124.0,2.090513751340073,4.759957575445973
125.0,2.0900986345869477,4.761925978387426
126.0,2.089686360671768,4.763888169784477
127.0,2.0892769015944985,4.76584419972185
128.0,2.0888702297197392,4.767794117660583
129.0,2.088466317770481,4.769737972448318
130.0,2.0880651388219964,4.771675812329386
131.0,2.087666666295856,4.773607684954676
132.0,2.0872708739540737,4.775533637391312
133.0,2.0868777358933737,4.777453716132127
134.0,2.086487226539576,4.779367967104948
135.0,2.0860993206421004,4.78127643568169
136.0,2.085713993268584,4.783179166687273
137.0,2.0853312197996083,4.785076204408356
138.0,2.084950975923537,4.786967592601897
139.0,2.0845732376314574,4.788853374503547
140.0,2.084197981212224,4.790733592835873
141.0,2.0838251832476065,4.792608289816424
142.0,2.0834548206075323,4.794477507165632
143.0,2.0830868704454266,4.796341286114567
144.0,2.0827213101936453,4.798199667412535
145.0,2.082358117558998,4.800052691334534
146.0,2.0819972705183623,4.801900397688554
147.0,2.081638747314385,4.803742825822756
148.0,2.081282526451265,4.805580014632496
149.0,2.080928586690623,4.807412002567225
150.0,2.080576907047449,4.809238827637251
151.0,2.0802274667861314,4.811060527420381
152.0,2.0798802454165615,4.81287713906843
153.0,2.0795352226903137,4.814688699313612
154.0,2.0791923785969013,4.81649524447481
155.0,2.078851693360101,4.81829681046373
156.0,2.0785131474343506,4.820093432790939
157.0,2.078176721501213,4.821885146571792
158.0,2.0778423964659107,4.8236719865322515
159.0,2.0775101534539218,4.825453987014596
