t,H,L
0.0,2.18,4.44
1.0,2.1786867225966784,4.4426763154463185
2.0,2.177383912598212,4.445335012269983
3.0,2.1760914171982058,4.4479763334244815
4.0,2.17480908693201,4.450600516837654
5.0,2.1735367755806156,4.453207795550384
6.0,2.1722743400779687,4.455798397850509
7.0,2.171021640421553,4.458372547402162
8.0,2.1697785395861104,4.460930463370723
9.0,2.1685449034403645,4.463472360543564
10.0,2.167320600666624,4.465998449446742
11.0,2.16610550268315,4.468508936457827
12.0,2.164899483569168,4.471004023914998
13.0,2.163702419992424,4.473483910222561
14.0,2.162514191139181,4.475948789953033
15.0,2.1613346786465533,4.478398853945913
16.0,2.16016376653709,4.480834289403295
17.0,2.159001341155522,4.483255279982405
18.0,2.157847291107577,4.485662005885219
19.0,2.156701507200794,4.488054643945245
20.0,2.1555638823872503,4.49043336771159
21.0,2.1544343117081355,4.492798347530412
22.0,2.153312692240093,4.495149750623842
23.0,2.1521989230432697,4.497487741166493
24.0,2.151092905111004,4.499812480359622
25.0,2.1499945413210955,4.502124126503042
26.0,2.1489037363885903,4.50442283506487
27.0,2.147820396820034,4.506708758749171
28.0,2.146744430869132,4.508982047561597
29.0,2.1456757484937667,4.511242848873077
30.0,2.1446142613143273,4.513491307481627
31.0,2.143559882573295,4.515727565672355
32.0,2.1425125270960486,4.517951763275721
33.0,2.1414721112528388,4.520164037724104
34.0,2.1404385529218963,4.52236452410675
35.0,2.139411771453627,4.524553355223142
36.0,2.138391687635861,4.526730661634859
37.0,2.1373782236601175,4.528896571715963
38.0,2.1363713030888474,4.531051211701975
39.0,2.1353708508236253,4.533194705737475
40.0,2.134376793074252,4.535327175922388
41.0,2.1333890573287415,4.537448742356989
42.0,2.1324075723241593,4.539559523185661
43.0,2.131432268018285,4.5416596346394735
44.0,2.13046307556207,4.543749191077594
45.0,2.1294999272728656,4.5458283050275785
46.0,2.1285427566083936,4.547897087224589
47.0,2.1275914981414363,4.549955646649552
48.0,2.126646087535224,4.552004090566309
49.0,2.1257064615194916,4.554042524557784
50.0,2.124772557867189,4.556071052561194
51.0,2.1238443153718203,4.5580897769023485
52.0,2.1229216738253927,4.560098798329048
53.0,2.1220045739969544,4.56209821604362
54.0,2.1210929576117055,4.564088127734618
55.0,2.1201867673306602,4.56606862960771
56.0,2.119285946730847,4.568039816415778
57.0,2.1183904402860243,4.570001781488252
58.0,2.1175001933479023,4.57195461675971
59.0,2.11661515212785,4.573898412797754
60.0,2.1157352636790736,4.575833258830197
61.0,2.1148604758792557,4.577759242771566
62.0,2.113990737413634,4.57967645124896
63.0,2.1131259977585115,4.581584969627264
64.0,2.1122662071651863,4.583484882033749
65.0,2.1114113166442823,4.585376271382071
66.0,2.1105612779504734,4.587259219395697
67.0,2.1097160435675892,4.589133806630754
68.0,2.1088755666940897,4.591000112498338
69.0,2.108039801228898,4.592858215286288
70.0,2.1072087017575813,4.594708192180442
71.0,2.106382223538869,4.596550119285391
72.0,2.1055603224915007,4.598384071644747
73.0,2.104742955181389,4.600210123260933
74.0,2.1039300788090953,4.60202834711451
75.0,2.1031216511976045,4.603838815183064
