t,H,L
0.0,2.18,4.44
1.0,2.178387442861564,4.442675030655918
2.0,2.1767865161338684,4.445329906085947
3.0,2.175197036348018,4.4479649171299735
4.0,2.173618824279893,4.450580348271329
5.0,2.1720517048210493,4.453176477822164
6.0,2.1704955068544773,4.455753578102094
7.0,2.1689500631349907,4.458311915610389
8.0,2.167415210174047,4.460851751192006
9.0,2.165890788128803,4.463373340197704
10.0,2.164376640695219,4.4658769326385155
11.0,2.1628726150050364,4.4683627733348015
12.0,2.1613785615264662,4.470831102060112
13.0,2.159894333968421,4.473282153680081
14.0,2.158419789188149,4.475716158286553
15.0,2.1569547871021215,4.478133341327136
16.0,2.1554991906000387,4.480533923730372
17.0,2.1540528654618227,4.482918122026697
18.0,2.152615680277479,4.485286148465367
19.0,2.1511875063697046,4.487638211127502
20.0,2.1497682177191284,4.4899745140354055
21.0,2.148357690892086,4.4922952572583155
22.0,2.146955804970818,4.494600637014707
23.0,2.1455624414860006,4.496890845771299
24.0,2.1441774843515127,4.499166072338883
25.0,2.1428008198013524,4.501426501965099
26.0,2.141432336328621,4.503672316424268
27.0,2.14007192462649,4.505903694104406
28.0,2.138719477531076,4.508120810091514
29.0,2.137374889966152,4.510323836251247
30.0,2.136038058889623,4.512512941308071
31.0,2.1347088832416974,4.514688290921977
32.0,2.1333872638946945,4.516850047762873
33.0,2.1320731036044243,4.518998371582709
34.0,2.1307663069630793,4.521133419285439
35.0,2.1294667803535856,4.523255344994881
36.0,2.1281744319053586,4.525364300120569
37.0,2.126889171451409,4.527460433421646
38.0,2.125610910486755,4.529543891068888
39.0,2.1243395621280903,4.531614816704915
40.0,2.123075041074662,4.533673351502644
41.0,2.121817263570318,4.5357196342220725
42.0,2.1205661473666804,4.537753801265411
43.0,2.119321611687405,4.539775986730659
44.0,2.1180835771934907,4.5417863224636505
45.0,2.1168519659496003,4.54378493810864
46.0,2.115626701391357,4.5457719611574605
47.0,2.1144077082935846,4.547747516997317
48.0,2.1131949127394614,4.549711728957254
49.0,2.1119882420905487,4.551664718353338
50.0,2.1107876249576725,4.553606604532607
51.0,2.109592991172625,4.555537504915814
52.0,2.1084042717606613,4.55745753503902
53.0,2.107221398913761,4.559366808594056
54.0,2.1060443059646334,4.5612654374679105
55.0,2.104872927361438,4.563153531781055
56.0,2.1037071986432,4.565031199924762
57.0,2.102547056415897,4.566898548597432
58.0,2.101392438329192,4.568755682839969
59.0,2.1002432830538003,4.570602706070236
60.0,2.099099530259457,4.572439720116609
61.0,2.09796112059348,4.57426682525067
62.0,2.096827995659897,4.576084120219057
63.0,2.09570009799913,4.577891702274498
64.0,2.0945773710682083,4.579689667206063
65.0,2.093459759221504,4.58147810936864
66.0,2.092347207691967,4.583257121711679
67.0,2.091239662572845,4.585026795807209
68.0,2.0901370707998765,4.586787221877161
69.0,2.089039380133941,4.588538488820016
70.0,2.0879465391441476,4.590280684236786
71.0,2.0868584971913586,4.592013894456367
72.0,2.085775204412124,4.59373820456027
73.0,2.0846966117030234,4.595453698406749
74.0,2.0836226707053975,4.597160458654351
75.0,2.082553333790461,4.598858566784888
76.0,2.0814885540447823,4.600548103125876
77.0,2.0804282852561236,4.602229146872421
78.0,2.079372481899626,4.6039017761086045
79.0,2.078321099124333,4.605566067828345
80.0,2.07727409274004,4.607222097955787
81.0,2.0762314192044644,4.608869941365201
82.0,2.075193035610721,4.61050967190043
83.0,2.0741588996751013,4.612141362393876
84.0,2.0731289697251394,4.613765084685059
85.0,2.0721032046879655,4.615380909638743
86.0,2.0710815640789315,4.616988907162652
87.0,2.0700640079905046,4.61858914622478
