t,H,L
0.0,2.18,4.44
1.0,2.1786867225966784,4.4426763154463185
2.0,2.1773838102786707,4.4453350118332375
3.0,2.1760911107199483,4.44797633125437
4.0,2.1748084749225773,4.450600510798888
5.0,2.1735357571210967,4.453207782689503
6.0,2.1722728146902957,4.455798374415705
7.0,2.1710195080562413,4.4583725088624515
8.0,2.169775700610425,4.4609304044344915
9.0,2.1685412586268926,4.463472275176513
10.0,2.1673160511822416,4.4659983308892635
11.0,2.16609995007836,4.468508777241819
12.0,2.164892829767802,4.4710038158801515
13.0,2.163694567281689,4.4734836445321315
14.0,2.162505042160037,4.475948457109122
15.0,2.16132413638441,4.478398443804281
16.0,2.160151734312812,4.480833791187707
17.0,2.1589877226167227,4.4832546822985515
18.0,2.157831990220202,4.485661296734205
19.0,2.1566844282409723,4.488053810736676
20.0,2.155544929933408,4.490432397276268
21.0,2.15441339063336,4.492797226132647
22.0,2.1532897077047406,4.495148463973411
23.0,2.1521737804878054,4.497486274430239
24.0,2.1510655102490657,4.499810818172719
25.0,2.149964800132773,4.502122252979935
26.0,2.1488715551139137,4.504420733809895
27.0,2.1477856819526604,4.5067064128668815
28.0,2.146707089150226,4.508979439666787
29.0,2.145635686906068,4.511239961100526
30.0,2.1445713870763945,4.513488121495575
31.0,2.143514103133925,4.515724062675709
32.0,2.142463750128861,4.517947924019007
33.0,2.141420244651022,4.520159842514176
34.0,2.1403835047931072,4.522359952815261
35.0,2.1393534501150406,4.524548387294783
36.0,2.1383300016093663,4.526725276095376
37.0,2.1373130816676493,4.52889074717996
38.0,2.1363026140478567,4.531044926380508
39.0,2.135298523842676,4.533187937445447
40.0,2.1343007374487457,4.53531990208575
41.0,2.1333091825367623,4.537440940019746
42.0,2.132323788022436,4.539551169016705
43.0,2.131344484038267,4.541650704939234
44.0,2.1303712019061125,4.543739661784518
45.0,2.12940387411052,4.5458181517244505
46.0,2.1284424342728014,4.547886285144682
47.0,2.1274868171258228,4.54994417068263
48.0,2.1265369584894844,4.551991915264475
49.0,2.1255927952468734,4.554029624141184
50.0,2.124654265321063,4.556057400923581
51.0,2.1237213076525374,4.558075347616505
52.0,2.1227938621772267,4.560083564652079
53.0,2.1218718698051244,4.562082150922118
54.0,2.1209552723994785,4.564071203809697
55.0,2.1200440127565296,4.566050819219925
56.0,2.1191380345857844,4.568021091609922
57.0,2.1182372824908047,4.569982114018041
58.0,2.1173417019504974,4.571933978092355
59.0,2.116451239300889,4.573876774118429
60.0,2.1155658417173706,4.575810591046397
61.0,2.114685457197398,4.577735516517368
62.0,2.1138100345436337,4.5796516368891815
63.0,2.1129395233475172,4.581559037261527
64.0,2.1120738739732503,4.583457801500452
65.0,2.1112130375421856,4.585348012262272
66.0,2.110356965917604,4.587229751016902
67.0,2.109505611689875,4.589103098070625
68.0,2.108658928161981,4.590968132588317
69.0,2.1078168693353994,4.59282493261514
70.0,2.106979389896333,4.594673575097717
71.0,2.106146445202275,4.596514135904814
72.0,2.1053179912689015,4.598346689847528
73.0,2.1044939847572803,4.600171310699007
74.0,2.1036743829613878,4.601988071213712
75.0,2.102859143795926,4.603797043146224
