t,H,L
0.0,2.18,4.44
1.0,2.178537082786636,4.442675672963187
2.0,2.177085086920876,4.445332457936936
3.0,2.175643845189075,4.447970620246264
4.0,2.1742131941374736,4.4505904195749215
5.0,2.1727929739610436,4.453192110125385
6.0,2.1713830283963977,4.455775940773186
7.0,2.169983204618582,4.458342155215828
8.0,2.1685933531415853,4.4608909921165125
9.0,2.1672133277224117,4.4634226852428895
10.0,2.1658429852685535,4.465937463601041
11.0,2.1644821857487337,4.4684355515648955
12.0,2.1631307921067706,4.47091716900125
13.0,2.1617886701784417,4.473382531390592
14.0,2.160455688611219,4.475831849943873
15.0,2.159131718786758,4.478265331715417
16.0,2.1578166347460312,4.480683179712095
17.0,2.1565103131169945,4.4830855929989255
18.0,2.1552126330446866,4.485472766801243
19.0,2.153923476123667,4.487844892603557
20.0,2.1526427263326937,4.490202158245244
21.0,2.1513702699715567,4.492544748013174
22.0,2.1501059955999815,4.4948728427314135
23.0,2.1488497939785223,4.497186619848096
24.0,2.147601558011366,4.499486253519571
25.0,2.146361182690976,4.501771914691944
26.0,2.145128565044505,4.504043771180092
27.0,2.143903604081909,4.506301987744246
28.0,2.142686200745694,4.5085467261642505
29.0,2.141476257862246,4.510778145311557
30.0,2.140273680094672,4.512996401219054
31.0,2.1390783738971018,4.515201647148804
32.0,2.1378902474704007,4.517394033657762
33.0,2.1367092107192325,4.519573708661548
34.0,2.1355351752104323,4.521740817496345
35.0,2.1343680541326355,4.523895502978984
36.0,2.1332077622571206,4.526037905465288
37.0,2.1320542158998244,4.528168162906718
38.0,2.1309073328844814,4.530286410905406
39.0,2.129767032506856,4.5323927827676
40.0,2.128633235500022,4.534487409555607
41.0,2.1275058640006566,4.536570420138254
42.0,2.1263848415163134,4.538641941239945
43.0,2.125270092893639,4.540702097488338
44.0,2.1241615442875035,4.542751011460706
45.0,2.1230591231310094,4.544788803729014
46.0,2.121962758106353,4.546815592903758
47.0,2.1208723791165096,4.5488314956766125
48.0,2.1197879172577094,4.550836626861914
49.0,2.1187093047926866,4.552831099437027
50.0,2.1176364751246664,4.554815024581627
51.0,2.116569362772074,4.556788511715934
52.0,2.115507903343935,4.558751668537928
53.0,2.1144520335159505,4.560704601059587
54.0,2.1134016910072195,4.562647413642166
55.0,2.112356814557592,4.5645802090305585
56.0,2.111317343905631,4.566503088386763
57.0,2.1102832197671613,4.568416151322483
58.0,2.1092543838143913,4.570319495930892
59.0,2.1082307786555874,4.572213218817583
60.0,2.1072123478152816,4.574097415130727
61.0,2.1061990357149982,4.575972178590473
62.0,2.1051907876544833,4.577837601517606
63.0,2.1041875497934193,4.579693774861482
64.0,2.1031892691336123,4.581540788227274
65.0,2.102195893501636,4.583378729902534
66.0,2.101207371531918,4.585207686883103
67.0,2.100223652650259,4.587027744898387
68.0,2.099244687057762,4.58883898843601
69.0,2.0982704257151727,4.5906415007658685
70.0,2.0973008203276082,4.592435363963606
71.0,2.096335823329665,4.594220658933522
72.0,2.0953753878709,4.595997465430928
73.0,2.0944194678016648,4.597765862083976
74.0,2.093468017659291,4.5995259264149615
75.0,2.092520992654613,4.601277734861133
76.0,2.091578348658816,4.603021362795003
77.0,2.0906400421906035,4.604756884544188
78.0,2.0897060304036743,4.606484373410787
79.0,2.088776271074499,4.60820390169031
80.0,2.0878507225903884,4.609915540690167
81.0,2.086929343937844,4.611619360747742
82.0,2.0860120946911858,4.613315431248038
83.0,2.085098935001445,4.615003820640936
84.0,2.08418982558552,4.6166845964580565
85.0,2.0832847277155815,4.618357825329239
86.0,2.0823836032087266,4.620023572998655
87.0,2.08148641441687,4.621681904340563
88.0,2.0805931242168674,4.623332883374705
89.0,2.079703696000866,4.624976573281374
90.0,2.0788180936668748,4.6266130364161375
91.0,2.077936281609547,4.6282423343242485
92.0,2.0770582247111737,4.629864527754735
93.0,2.076183888332877,4.631479676674183
94.0,2.0753132383060007,4.633087840280229
95.0,2.074446240923696,4.634689077014751
96.0,2.0735828629326893,4.636283444576782
97.0,2.072723071525235,4.637870999935152
98.0,2.0718668343312436,4.639451799340851
99.0,2.071014119410584,4.641025898339136
100.0,2.0701648952455516,4.642593351781389
101.0,2.069319130733501,4.644154213836707
102.0,2.068476795179638,4.645708538003274
103.0,2.067637858289967,4.647256377119476
104.0,2.0668022901643885,4.648797783374797
105.0,2.0659700612899448,4.6503328083204885
106.0,2.06514114253421,4.651861502880012
107.0,2.0643155051388176,4.653383917359279
108.0,2.0634931207131273,4.654900101456676
109.0,2.0626739612280227,4.656410104272886
110.0,2.0618579990098405,4.657913974320508
111.0,2.0610452067344234,4.659411759533495
112.0,2.0602355574213,4.660903507276391
113.0,2.0594290244279807,4.662389264353384
114.0,2.058625581444376,4.663869077017187
115.0,2.057825202487323,4.665342990977736
116.0,2.0570278618952296,4.666811051410719
117.0,2.056233534322823,4.668273302965937
118.0,2.0554421947360075,4.6697297897754995
119.0,2.0546538184068246,4.671180555461865
120.0,2.0538683809085136,4.67262564314572
121.0,2.053085858110674,4.674065095453709
122.0,2.0523062261745193,4.675498954526015
123.0,2.0515294615482302,4.676927262023792
124.0,2.050755540962397,4.67835005913646
125.0,2.0499844414255515,4.679767386588856
126.0,2.0492161402197873,4.681179284648254
127.0,2.048450614896466,4.6825857931312465
128.0,2.0476878432720063,4.683986951410506
129.0,2.046927803423755,4.685382798421409
130.0,2.0461704736859376,4.686773372668542
131.0,2.0454158326456877,4.688158712232086
132.0,2.0446638591391513,4.689538854774085
133.0,2.0439145322476664,4.690913837544589
134.0,2.043167831294014,4.6922836973876985
135.0,2.0424237358387427,4.693648470747483
136.0,2.04168222567656,4.695008193673807
137.0,2.040943280832793,4.696362901828034
138.0,2.0402068815599157,4.697712630488641
139.0,2.0394730083341397,4.699057414556721
140.0,2.0387416418520696,4.700397288561395
141.0,2.0380127630274205,4.701732286665119
142.0,2.037286352987795,4.703062442668905
143.0,2.0365623930715206,4.70438779001744
144.0,2.0358408648245456,4.705708361804118
145.0,2.035121749997389,4.707024190775988
146.0,2.0344050305421497,4.708335309338608
