t,H,L
0.0,2.18,4.44
1.0,2.178537082786636,4.442675672963187
2.0,2.1770851636606783,4.4453324582642715
3.0,2.1756440750488077,4.447970621872255
4.0,2.1742136531483163,4.450590424098218
5.0,2.172793737815563,4.453192119755882
6.0,2.1713841724585077,4.455775958316484
7.0,2.169984803933149,4.458342184058212
8.0,2.1685954824436906,4.460891036210437
9.0,2.167216061446285,4.4634227490929375
10.0,2.1658463975561952,4.465937552250352
11.0,2.164486350458234,4.4684356705820285
12.0,2.163135782820343,4.470917324467475
13.0,2.1617945602101774,4.473382729887589
14.0,2.1604625510145787,4.475832098541824
15.0,2.1591396263618097,4.478265637961473
16.0,2.1578256600464423,4.480683551619206
17.0,2.1565205284567903,4.48308603903502
18.0,2.1552241105047862,4.485473295878738
19.0,2.1539362875582007,4.4878455140692
20.0,2.152656943375114,4.49020288187025
21.0,2.151385964040551,4.492545583983677
22.0,2.1501232379051918,4.494873801639196
23.0,2.1488686555260825,4.497187712681595
24.0,2.1476221096092614,4.499487491655157
25.0,2.146383494954232,4.501773309885452
26.0,2.145152708400213,4.504045335558599
27.0,2.143929648774093,4.506303733798094
28.0,2.1427142168400284,4.5085486667392916
29.0,2.1415063152506244,4.510780293601626
30.0,2.140305848499636,4.512998770758656
31.0,2.1391127228761357,4.515204251806002
32.0,2.1379268464200942,4.51739688762727
33.0,2.136748128879318,4.519576826458017
34.0,2.135576481667701,4.521744213947833
35.0,2.134411817824736,4.523899193220604
36.0,2.1332540519762455,4.526041904933033
37.0,2.1321031002962876,4.528172487331452
38.0,2.1309588804701907,4.530291076307018
39.0,2.1298213116586835,4.532397805449313
40.0,2.128690314463078,4.53449280609844
41.0,2.1275658108914692,4.536576207395631
42.0,2.1264477243259154,4.538648136332443
43.0,2.1253359794905693,4.540708717798577
44.0,2.12423050242072,4.542758074628367
45.0,2.123131220432722,4.544796327645985
46.0,2.122038062094779,4.5468235957094105
47.0,2.1209509571985476,4.548839995753191
48.0,2.1198698367315436,4.550845642830048
49.0,2.118794632850316,4.55284065015135
50.0,2.1177252788543677,4.554825129126513
51.0,2.1166617091607947,4.556799189401332
52.0,2.1156038592796236,4.558762938895303
53.0,2.1145516657898225,4.560716483837959
54.0,2.1135050663159634,4.562659928804249
55.0,2.112463999505516,4.564593376748989
56.0,2.1114284050067527,4.566516929040421
57.0,2.1103982234472425,4.568430685492903
58.0,2.109373396412921,4.570334744398755
59.0,2.108353866427709,4.572229202559295
60.0,2.107339576933674,4.574114155315076
61.0,2.106330472271706,4.575989696575368
62.0,2.105326497662701,4.577855918846884
63.0,2.1043275991892294,4.579712913261799
64.0,2.103333723777679,4.5815607696050575
65.0,2.102344819180856,4.5833995763410105
66.0,2.101360833961032,4.585229420639394
67.0,2.1003817174734176,4.587050388400667
68.0,2.0994074198500585,4.588862564280727
69.0,2.0984378919841333,4.590666031715033
70.0,2.0974730855146477,4.5924608729421355
71.0,2.096512952811507,4.5942471690266435
72.0,2.0955574469609606,4.59602499988164
73.0,2.0946065217514036,4.597794444290561
74.0,2.0936601316595302,4.599555579928562
75.0,2.0927182318368236,4.6013084833833675
76.0,2.0917807780963726,4.603053230175642
77.0,2.090847726900011,4.604789894778878
78.0,2.089919035345764,4.606518550638818
79.0,2.088994661155598,4.608239270192437
80.0,2.088074562663458,4.609952124886472
81.0,2.0871586988035955,4.611657185195539
82.0,2.086247029099168,4.613354520639829
83.0,2.085339513651108,4.615044199802403
84.0,2.0844361131272526,4.6167262903460955
85.0,2.0835367887517258,4.618400859030035
86.0,2.082641502294569,4.620067971725797
87.0,2.0817502160616095,4.6217276934331935
88.0,2.080862892884563,4.62338008829571
89.0,2.079979496111362,4.625025219615609
90.0,2.079099989596705,4.626663149868686
91.0,2.0782243376928187,4.6282939407187165
92.0,2.0773525052404325,4.629917653031579
93.0,2.0764844575599515,4.6315343468890715
94.0,2.0756201604428313,4.633144081602433
95.0,2.074759580143141,4.634746915725568
96.0,2.0739026833693166,4.636342907067992
97.0,2.073049437276096,4.637932112707497
98.0,2.07219980945663,4.639514589002548
99.0,2.071353767934768,4.64109039160442
100.0,2.0705112811575104,4.642659575469074
101.0,2.069672317987626,4.644222194868788
102.0,2.068836847696429,4.645778303403541
103.0,2.0680048399567106,4.647327954012165
104.0,2.067176264835823,4.648871198983258
105.0,2.0663510927889117,4.65040808996588
106.0,2.0655292946522903,4.651938677980022
107.0,2.0647108416369564,4.653463013426867
108.0,2.063895705322244,4.654981146098836
109.0,2.06308385764961,4.656493125189435
110.0,2.0622752709165493,4.6579989993028965
111.0,2.0614699177706375,4.659498816463635
112.0,2.060667771203697,4.6609926241255035
113.0,2.0598688045460842,4.662480469180875
114.0,2.0590729914610937,4.663962397969536
115.0,2.0582803059394763,4.665438456287405
116.0,2.0574907222940704,4.666908689395082
117.0,2.0567042151545425,4.668373142026224
118.0,2.0559207594622326,4.669831858395769
119.0,2.0551403304651057,4.6712848822079795
120.0,2.0543629037128026,4.67273225666435
121.0,2.053588455051792,4.674174024471349
122.0,2.0528169606206172,4.675610227848017
123.0,2.052048396845237,4.677040908533414
124.0,2.051282740434463,4.678466107793932
125.0,2.05051996837548,4.679885866430464
126.0,2.0497600579294586,4.6813002247854305
127.0,2.049002986627255,4.682709222749687
128.0,2.0482487322651903,4.684112899769291
129.0,2.0474972729009133,4.685511294852144
130.0,2.0467485868493456,4.686904446574511
131.0,2.0460026526787014,4.688292393087421
132.0,2.0452594492065854,4.689675172122942
133.0,2.0445189554961654,4.691052821000347
134.0,2.043781150852416,4.69242537663216
135.0,2.0430460148184366,4.693792875530098
136.0,2.042313527171836,4.695155353810901
137.0,2.0415836679211865,4.696512847202052
138.0,2.0408564173025443,4.697865391047401
139.0,2.0401317557760357,4.6992130203126825
140.0,2.039409664022504,4.700555769590936
141.0,2.0386901229402237,4.701893673107826
142.0,2.037973113641669,4.703226764726868
143.0,2.0372586174503473,4.704555077954568
144.0,2.036546615897689,4.705878645945458
145.0,2.035837090719992,4.707197501507055
146.0,2.035130023855425,4.708511677104726
