t,H,L
0.0,2.18,4.44
1.0,2.177957578809153,4.4435518480399265
2.0,2.1759358402990947,4.447068444143675
3.0,2.1739343549501955,4.450550475054285
4.0,2.171952706523992,4.4539986074128
5.0,2.1699904915245427,4.457413488541391
6.0,2.1680473186867215,4.460795747188527
7.0,2.166122808489849,4.464145994238414
8.0,2.1642165926951766,4.467464823386723
9.0,2.162328313905838,4.470752811784532
10.0,2.160457625147967,4.4740105206522545
11.0,2.1586041894717862,4.477238495865227
12.0,2.156767679571526,4.480437268512515
13.0,2.154947777423125,4.483607355430398
14.0,2.1531441739387263,4.486749259711903
15.0,2.151356568637044,4.489863471193665
16.0,2.149584669328735,4.492950466921324
17.0,2.1478281918159676,4.496010711594582
18.0,2.1460868596054232,4.499044657992985
19.0,2.1443604036340242,4.502052747383422
20.0,2.142648562006713,4.50503540991028
21.0,2.1409510797456566,4.507993064969138
22.0,2.139267708550285,4.5109261215648235
23.0,2.13759820656761,4.5138349786546135
24.0,2.1359423381722955,4.516720025477325
25.0,2.1342998737559986,4.519581641868973
26.0,2.1326705895255054,4.522420198565659
27.0,2.1310542673092345,4.52523605749431
28.0,2.129450694371692,4.528029572051837
29.0,2.1278596632354922,4.5308010873732805
30.0,2.1262809715105764,4.533550940589446
31.0,2.1247144217302845,4.536279461074536
32.0,2.1231598211939526,4.538986970684226
33.0,2.121616981815728,4.541673783984643
34.0,2.1200857199793117,4.544340208472646
35.0,2.118565856398348,4.546986544787814
36.0,2.1170572159822068,4.5496130869165095
37.0,2.1155596277069044,4.552220122388367
38.0,2.1140729244909338,4.554807932465558
39.0,2.112596943075782,4.5573767923251305
40.0,2.11113152391092,4.559926971234735
41.0,2.1096765110430735,4.56245873272203
42.0,2.10823175200958,4.564972334738024
43.0,2.1067970977356523,4.567468029814629
44.0,2.1053724024353837,4.569946065216655
45.0,2.103957523516327,4.572406683088494
46.0,2.1025523214874977,4.574850120595706
47.0,2.101156659870655,4.577276610061724
48.0,2.099770405114719,4.579686379099873
49.0,2.0983934265131965,4.582079650740906
50.0,2.0970255961244857,4.584456643556225
51.0,2.0956667886949436,4.5868175717769715
52.0,2.094316881584601,4.589162645409152
53.0,2.0929757546954146,4.591492070344947
54.0,2.091643290401959,4.593806048470369
55.0,2.090319373484452,4.596104777769395
56.0,2.089003891064028,4.598388452424735
57.0,2.087696732540162,4.600657262915338
58.0,2.0863977895301673,4.60291139611079
59.0,2.0851069558106765,4.605151035362699
60.0,2.0838241272610354,4.607376360593199
61.0,2.0825492018085328,4.609587548380673
62.0,2.081282079375395,4.611784772042799
63.0,2.080022661827478,4.613968201717024
64.0,2.0787708529245927,4.616138004438561
65.0,2.0775265582724005,4.6182943442159905
66.0,2.076289685275822,4.620437382104571
67.0,2.0750601430939004,4.6225672762773256
68.0,2.073837842596066,4.624684182093995
69.0,2.0726226963197507,4.626788252167932
70.0,2.071414618429303,4.628879636431007
71.0,2.0702135246761557,4.6309584821966014
72.0,2.0690193323601975,4.6330249342207495
73.0,2.0678319602923136,4.635079134761502
74.0,2.0666513287580446,4.637121223636562
75.0,2.0654773594823275,4.63915133827927
76.0,2.0643099755952825,4.641169613792975
77.0,2.0631491015990036,4.643176183003861
78.0,2.061994663335323,4.645171176512281
79.0,2.0608465879545133,4.647154722742636
80.0,2.059704803884893,4.649126947991873
81.0,2.058569240803308,4.651087976476616
