t,H,L
0.0,2.18,4.44
1.0,2.1781879227825938,4.4426741745197145
2.0,2.176388829619641,4.445326507522287
3.0,2.1746025124532373,4.447957328833687
4.0,2.1728287682318834,4.450566960797468
5.0,2.17106739875225,4.45315571850136
6.0,2.169318210507119,4.455723909995316
7.0,2.1675810145392163,4.4582718365013765
8.0,2.1658556263006665,4.460799792615741
9.0,2.1641418655178115,4.463308066503378
10.0,2.162439556061149,4.465796940085513
11.0,2.1607485258201633,4.468266689220287
12.0,2.1590686065828257,4.470717583876915
13.0,2.157399633919562,4.473149888303587
14.0,2.155741447071488,4.47556386118941
15.0,2.1540938888427252,4.477959755820624
16.0,2.1524568054966213,4.480337820231353
17.0,2.1508300466557095,4.482698297349091
18.0,2.1492134652052424,4.485041425135181
19.0,2.1476069172001497,4.4873674367204535
20.0,2.1460102617752788,4.489676560536256
21.0,2.144423361058774,4.491969020441039
22.0,2.1428460800884723,4.494245035842695
23.0,2.141278286731183,4.496504821816804
24.0,2.139719851604737,4.498748589220963
25.0,2.138170648002694,4.500976544805352
26.0,2.136630551821595,4.503188891319679
27.0,2.1350994414906634,4.505385827616651
28.0,2.1335771979038527,4.5075675487521005
29.0,2.132063704354149,4.509734246081907
30.0,2.1305588464700396,4.511886107355824
31.0,2.1290625121540643,4.514023316808341
32.0,2.127574591523363,4.516146055246681
33.0,2.126094976852148,4.518254500136051
34.0,2.124623562516028,4.520348825682244
35.0,2.123160244938103,4.522429202911694
36.0,2.1217049225367743,4.524495799749072
37.0,2.1202574956752014,4.526548781092516
38.0,2.1188178666123396,4.528588308886588
39.0,2.1173859394555046,4.53061454219303
40.0,2.1159616201144056,4.5326276372594005
41.0,2.1145448162565925,4.534627747585679
42.0,2.113135437264267,4.536615023988892
43.0,2.1117333941924032,4.5385896146658435
44.0,2.110338599728141,4.540551665254015
45.0,2.1089509681513907,4.542501318890695
46.0,2.107570415296621,4.544438716270402
47.0,2.106196858515779,4.546363995700662
48.0,2.104830216642305,4.54827729315619
49.0,2.103470409956204,4.55017874233154
50.0,2.1021173601501344,4.552068474692267
51.0,2.100770990296485,4.553946619524655
52.0,2.099431224815398,4.555813303984061
53.0,2.0980979894437097,4.557668653141911
54.0,2.0967712112047803,4.559512790031413
55.0,2.095450818379175,4.561345835692008
56.0,2.0941367404761766,4.563167909212609
57.0,2.0928289082060934,4.564979127773673
58.0,2.0915272534533433,4.566779606688134
59.0,2.0902317092502822,4.568569459441243
60.0,2.088942209751756,4.570348797729343
61.0,2.0876586902103496,4.572117731497613
62.0,2.0863810869523145,4.573876368976823
63.0,2.085109337354147,4.575624816719116
64.0,2.0838433798198,4.577363179632866
65.0,2.0825831537585087,4.579091561016624
66.0,2.0813285995632067,4.58081006259219
67.0,2.080079658589517,4.582518784536832
68.0,2.0788362731352996,4.584217825514691
69.0,2.0775983864207346,4.5859072827073755
70.0,2.076365942568929,4.5875872518437895
71.0,2.075138886587029,4.589257827229211
72.0,2.0739171643478183,4.590919101773639
73.0,2.0727007225717937,4.592571167019433
74.0,2.0714895088097007,4.5942141131682765
75.0,2.0702834714255127,4.595848029107464
76.0,2.069082559579844,4.597473002435554
77.0,2.0678867232137805,4.599089119487385
78.0,2.0666959130331186,4.600696465358495
79.0,2.065510080492997,4.602295123928943
80.0,2.064329177782911,4.603885177886563
81.0,2.0631531578121005,4.605466708749654
82.0,2.061981974195294,4.607039796889139
83.0,2.0608155812388067,4.608604521550191
84.0,2.0596539339269744,4.610160960873357
85.0,2.05849698790892,4.6117091919151765
86.0,2.0573446994856375,4.613249290668324
87.0,2.0561970255973887,4.614781332081287
88.0,2.0550539238114016,4.616305390077578
89.0,2.053915352309861,4.617821537574516
90.0,2.052781269878185,4.619329846501568
91.0,2.051651635893578,4.620830387818277
92.0,2.050526410313853,4.622323231531781
93.0,2.049405553666517,4.623808446713938
94.0,2.0482890270381073,4.625286101518064
95.0,2.0471767920637776,4.626756263195295
96.0,2.0460688109171246,4.628218998110587
97.0,2.0449650463002476,4.629674371758358
98.0,2.0438654614340352,4.63112244877779
99.0,2.042770020048674,4.632563292967784
100.0,2.0416786863743708,4.633996967301599
101.0,2.0405914251322885,4.6354235339411645
102.0,2.03950820152568,4.636843054251085
103.0,2.0384289812312244,4.638255588812342
104.0,2.0373537303905556,4.639661197435698
105.0,2.0362824156019763,4.641059939174823
106.0,2.0352150039123593,4.642451872339124
107.0,2.0341514628092225,4.643837054506323
108.0,2.0330917602129808,4.64521554253475
109.0,2.0320358644693637,4.646587392575391
110.0,2.0309837443420014,4.647952660083677
111.0,2.029935369005167,4.649311399831025
112.0,2.028890708036678,4.650663665916148
113.0,2.027849731410948,4.652009511776119
114.0,2.026812409492188,4.653348990197218
115.0,2.0257787130277523,4.65468215332555
116.0,2.0247486131416217,4.656009052677448
117.0,2.0237220813280303,4.657329739149663
118.0,2.0226990894452204,4.65864426302935
119.0,2.0216796097093317,4.65995267400385
120.0,2.0206636146884143,4.661255021170277
121.0,2.0196510772965697,4.662551353044912
122.0,2.018641970788209,4.663841717572411
123.0,2.0176362687524327,4.665126162134828
124.0,2.0166339451075217,4.666404733560464
125.0,2.015634974095544,4.667677478132534
126.0,2.014639330277071,4.668944441597674
127.0,2.013646988525996,4.670205669174272
128.0,2.012657924024465,4.671461205560645
129.0,2.0116721122579007,4.672711094943051
130.0,2.010689529010133,4.6739553810035535
131.0,2.0097101503586234,4.675194106927725
132.0,2.0087339526697825,4.676427315412211
133.0,2.007760912594384,4.677655048672151
134.0,2.0067910070630663,4.678877348448448
135.0,2.005824213281923,4.680094256014911
136.0,2.004860508728179,4.681305812185258
137.0,2.0038998711459524,4.682512057319989
138.0,2.002942278542096,4.683713031333128
139.0,2.0019877091821217,4.684908773698843
140.0,2.0010361415862015,4.686099323457938
141.0,2.000087554525246,4.687284719224233
142.0,1.9991419270170574,4.688464999190816
143.0,1.9981992383225566,4.689640201136188
144.0,1.99725946794208,4.690810362430295
145.0,1.9963225956117483,4.691975520040441
146.0,1.9953886012999014,4.693135710537112
147.0,1.9944574652036025,4.694290970099671
148.0,1.9935291677452056,4.695441334521975
149.0,1.9926036895689883,4.696586839217869
150.0,1.991681011537845,4.697727519226597
151.0,1.9907611147300437,4.698863409218109
152.0,1.9898439804360408,4.699994543498278
153.0,1.9889295901553545,4.7011209560140195
154.0,1.9880179255934964,4.702242680358326
155.0,1.9871089686589571,4.7033597497752115
156.0,1.9862027014602481,4.7044721971645656
157.0,1.9852991063029968,4.705580055086929
158.0,1.984398165687093,4.706683355768184
159.0,1.983499862303888,4.707782131104157
160.0,1.9826041790334423,4.7088764126651546
161.0,1.9817110989418236,4.70996623170041
162.0,1.9808206052784523,4.7110516191424585
163.0,1.9799326814734934,4.71213260561144
164.0,1.979047311135296,4.71320922141932
165.0,1.9781644780478753,4.714281496574051
166.0,1.9772841661684415,4.715349460783654
167.0,1.97640635962497,4.716413143460234
168.0,1.975531042713814,4.7174725737239305
169.0,1.9746581998973594,4.7185277804067995
170.0,1.9737878158017197,4.719578792056631
171.0,1.97291987521447,4.720625636940703
172.0,1.9720543630824212,4.7216683430494735
173.0,1.9711912645094307,4.722706938100215
174.0,1.9703305647542517,4.723741449540581
175.0,1.969472249228419,4.7247719045521235
176.0,1.9686163034941688,4.725798330053745
177.0,1.9677627132623967,4.726820752705102
178.0,1.9669114643906473,4.727839198909944
179.0,1.9660625428811385,4.728853694819409
180.0,1.965215934878819,4.729864266335258
181.0,1.964371626669458,4.730870939113059
182.0,1.963529604677767,4.731873738565322
183.0,1.9626898554655516,4.732872689864585
184.0,1.9618523657298947,4.733867817946447
185.0,1.9610171223013695,4.734859147512553
186.0,1.9601841121422812,4.735846703033539
187.0,1.9593533223449384,4.73683050875192
188.0,1.9585247401299517,4.7378105886849395
189.0,1.95769835284456,4.738786966627375
190.0,1.9568741479609846,4.739759666154295
191.0,1.9560521130748092,4.740728710623776
192.0,1.9552322359033865,4.741694123179577
193.0,1.954414504284269,4.742655926753774
194.0,1.9535989061736674,4.743614144069352
195.0,1.9527854296449298,4.744568797642756
196.0,1.9519740628870494,4.745519909786408
197.0,1.9511647942031924,4.746467502611177
198.0,1.9503576120092505,4.7474115980288225
199.0,1.9495525048324163,4.748352217754392
200.0,1.9487494613097807,4.749289383308586
201.0,1.9479484701869516,4.750223116020086
202.0,1.9471495203166962,4.75115343702785
203.0,1.9463526006576015,4.75208036728337
204.0,1.9455577002727582,4.753003927552899
205.0,1.9447648083284628,4.753924138419642
206.0,1.9439739140929413,4.754841020285916
207.0,1.9431850069350916,4.75575459337528
208.0,1.9423980763232451,4.7566648777346305
209.0,1.9416131118239481,4.757571893236266
210.0,1.9408301031007604,4.758475659579923
211.0,1.940049039913073,4.759376196294783
212.0,1.939269912114944,4.760273522741446
213.0,1.9384927096539504,4.761167658113884
214.0,1.9377174225700595,4.7620586214413505
215.0,1.9369440409945153,4.762946431590283
216.0,1.9361725551487423,4.763831107266161
217.0,1.9354029553432655,4.764712667015345
218.0,1.9346352319766467,4.7655911292268875
219.0,1.9338693755344365,4.766466512134321
220.0,1.933105376588141,4.767338833817416
221.0,1.9323432257942048,4.768208112203913
222.0,1.9315829138930085,4.769074365071241
223.0,1.9308244317078809,4.769937610048195
224.0,1.930067770144125,4.770797864616605
225.0,1.929312920188059,4.771655146112973
226.0,1.9285598729060718,4.772509471730089
227.0,1.9278086194436899,4.773360858518625
228.0,1.9270591510246602,4.774209323388708
229.0,1.9263114589500447,4.7750548831114665
230.0,1.9255655345973286,4.775897554320562
231.0,1.9248213694195404,4.776737353513697
232.0,1.9240789549443864,4.777574297054098
233.0,1.923338282773395,4.778408401171984
234.0,1.9225993445810752,4.779239681966014
235.0,1.9218621321140865,4.780068155404708
236.0,1.9211266371904197,4.78089383732786
237.0,1.9203928516985898,4.781716743447924
238.0,1.9196607675968405,4.782536889351381
239.0,1.9189303769123598,4.783354290500093
240.0,1.9182016717405057,4.784168962232632
241.0,1.9174746442440436,4.784980919765598
242.0,1.9167492866523939,4.785790178194912
243.0,1.9160255912608903,4.7865967524971005
244.0,1.915303550430048,4.787400657530555
245.0,1.9145831565848417,4.788201908036779
246.0,1.9138644022139943,4.789000518641617
247.0,1.9131472798692752,4.7897965038564685
248.0,1.9124317821648071,4.790589878079483
249.0,1.911717901776384,4.791380655596743
250.0,1.9110056314407966,4.792168850583434
251.0,1.9102949639551687,4.792954477104988
252.0,1.9095858921763011,4.793737549118225
253.0,1.9088784090200248,4.79451808047247
254.0,1.908172507460563,4.795296084910663
255.0,1.9074681805299023,4.79607157607045
256.0,1.90676542131717,4.7968445674852624
257.0,1.9060642229680236,4.797615072585378
258.0,1.9053645786840439,4.798383104698975
259.0,1.9046664817221397,4.799148677053169
260.0,1.9039699253939593,4.799911802775034
261.0,1.903274903065308,4.800672494892617
262.0,1.9025814081555765,4.801430766335937
263.0,1.9018894341371744,4.802186629937965
264.0,1.901198974534971,4.802940098435603
265.0,1.9005100229257461,4.803691184470643
266.0,1.8998225729376441,4.804439900590714
267.0,1.8991366182496383,4.805186259250222
268.0,1.8984521525910008,4.805930272811272
269.0,1.8977691697407792,4.806671953544586
270.0,1.8970876635272809,4.807411313630402
271.0,1.8964076278275623,4.808148365159365
272.0,1.8957290565669274,4.808883120133411
273.0,1.895051943718429,4.80961559046663
274.0,1.8943762833023803,4.810345787986134
275.0,1.8937020693858695,4.8110737244328945
276.0,1.8930292960822823,4.811799411462588
277.0,1.8923579575508305,4.812522860646421
278.0,1.891688047996085,4.813244083471948
279.0,1.8910195616675163,4.813963091343875
280.0,1.8903524928590405,4.814679895584865
281.0,1.8896868359085701,4.815394507436319
282.0,1.8890225851975717,4.81610693805916
283.0,1.888359735150628,4.816817198534597
284.0,1.8876982802350062,4.81752529986489
285.0,1.8870382149602307,4.818231252974097
286.0,1.8863795338776628,4.818935068708818
