t,H,L
0.0,2.18,4.44
1.0,2.178555668293176,4.443555256740605
2.0,2.1771277108401654,4.447081957542795
3.0,2.175715810695981,4.450580610491097
4.0,2.1743196598465238,4.454051710068623
5.0,2.1729389588782033,4.457495737641126
6.0,2.1715734166626355,4.46091316191962
7.0,2.170222750055609,4.464304439402717
8.0,2.168886683609553,4.467670014799727
9.0,2.1675649492987836,4.471010321435518
10.0,2.1662572862568616,4.4743257816380915
11.0,2.1649634405254217,4.477616807109732
12.0,2.1636831648138823,4.480883799282576
13.0,2.1624162182694766,4.484127149659369
14.0,2.1611623662570767,4.487347240140165
15.0,2.159921380148316,4.490544443335635
16.0,2.1586930371195474,4.4937191228676605
17.0,2.15747711995819,4.496871633657824
18.0,2.1562734168770623,4.500002322204364
19.0,2.155081721336298,4.503111526848166
20.0,2.153901831872485,4.50619957802829
21.0,2.1527335519346806,4.509266798527538
22.0,2.1515766897269666,4.512313503708515
23.0,2.150431058057242,4.515340001740633
24.0,2.149296474191956,4.518346593818462
25.0,2.148172759716506,4.521333574371835
26.0,2.147059740401036,4.52430123126806
27.0,2.14595724607139,4.527249846006618
28.0,2.144865110484982,4.530179693906653
29.0,2.143783171211363,4.5330910442876
30.0,2.1427112695172728,4.535984160643225
31.0,2.1416492502559747,4.538859300809386
32.0,2.1405969617606875,4.541716717125768
33.0,2.139554255741928,4.544556656591865
34.0,2.1385209871886035,4.547379361017446
35.0,2.1374970142726797,4.550185067167733
36.0,2.1364821982572804,4.552974006903525
37.0,2.135476403408065,4.555746407316471
38.0,2.1344794969077507,4.558502490859695
39.0,2.133491348773642,4.561242475473957
40.0,2.1325118317780443,4.563966574709545
41.0,2.1315408213714404,4.566674997844057
42.0,2.130578195608318,4.569367949996254
43.0,2.129623835075536,4.5720456322361205
44.0,2.1286776228231306,4.574708241691305
45.0,2.127739444297458,4.577355971650067
46.0,2.1268091872765824,4.579989011660872
47.0,2.12588674180782,4.58260754762877
48.0,2.1249720001473524,4.5852117619086785
49.0,2.1240648567018265,4.587801833395681
50.0,2.1231652079718666,4.5903779376124705
51.0,2.122272952497423,4.592940246794031
52.0,2.1213879908048816,4.595488929969674
53.0,2.1205102253558765,4.598024153042517
54.0,2.1196395604977303,4.600546078866509
55.0,2.1187759024154658,4.603054867321088
56.0,2.117919159085331,4.605550675383559
57.0,2.117069240229777,4.608033657199275
58.0,2.116226057273837,4.610503964149705
59.0,2.115389523302854,4.612961744918459
60.0,2.1145595530215067,4.615407145555343
61.0,2.1137360627140875,4.6178403095385265
62.0,2.1129189702059885,4.620261377834868
63.0,2.112108194826346,4.622670488958484
64.0,2.1113036573718085,4.625067779027614
65.0,2.1105052800713864,4.627453381819834
66.0,2.109712986552341,4.629827428825691
67.0,2.1089267018070816,4.632190049300801
68.0,2.108146352161031,4.634541370316464
69.0,2.10737186524143,4.636881516808854
70.0,2.106603169947043,4.639210611626824
71.0,2.105840196418738,4.641528775578376
72.0,2.10508287601091,4.643836127475841
73.0,2.1043311412637173,4.646132784179811
74.0,2.1035849258761052,4.648418860641863
75.0,2.1028441646795883,4.650694469946119
76.0,2.10210879361277,4.6529597233496744
77.0,2.101378749696569,4.655214730321935
78.0,2.100653971010133,4.657459598582899
79.0,2.0999343966674204,4.659694434140412
80.0,2.0992199667944167,4.661919341326436
81.0,2.098510622506977,4.664134422832359
82.0,2.0978063058892698,4.666339779743374
83.0,2.0971069599727983,4.66853551157196
84.0,2.0964125287159887,4.670721716290495
85.0,2.0957229569843214,4.672898490363018
86.0,2.09503819053099,4.675065928776181
87.0,2.09435817597807,4.677224125069406
88.0,2.093682860798186,4.679373171364269
89.0,2.0930121932966532,4.681513158393145
90.0,2.0923461225940883,4.68364417552713
91.0,2.0916845986094654,4.68576631080326
92.0,2.091027572043613,4.687879650951051
93.0,2.090374994363129,4.6899842814183845
94.0,2.08972681778471,4.692080286396746
95.0,2.089082995259875,4.694167748845849
96.0,2.088443480460076,4.696246750517651
97.0,2.0878082277621814,4.698317371979794
98.0,2.0871771922343227,4.7003796926384664
99.0,2.086550329622094,4.702433790760721
100.0,2.0859275963350905,4.704479743496256
101.0,2.0853089494337813,4.706517626898673
102.0,2.084694346616702,4.708547515946237
103.0,2.0840837462079587,4.710569484562138
104.0,2.083477107145039,4.71258360563428
105.0,2.0828743889669132,4.714589951034604
106.0,2.0822755518024243,4.716588591637967
107.0,2.081680556358954,4.718579597340573
108.0,2.0810893639113592,4.720563037077987
109.0,2.0805019362911725,4.722538978842733
110.0,2.079918235876054,4.724507489701485
111.0,2.079338225579493,4.726468635811872
112.0,2.0787618688407523,4.728422482438902
113.0,2.07818912961504,4.73036909397101
114.0,2.077619972363917,4.732308533935752
115.0,2.07705436204592,4.734240865015146
116.0,2.0764922641074013,4.736166149060669
